signature_id	species	function_label	perturbation_genes	split_group	split	assay_type	source	source_condition	cell_count	cardinality	original_partition	original_oof_fold	component_genes	mapping_status	label_policy	primary_label_score	candidate_label_count	benchmark_eligible	masked_perturbation_features
NORMAN::CEBPB	human	GO:0012501	CEBPB	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPB+ctrl|ctrl+CEBPB	422	1	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.908835600407325	7	true	1
NORMAN::CEBPB+CEBPE	human	GO:0006355	CEBPB+CEBPE	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+CEBPB	111	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.6755637794903078	7	true	2
NORMAN::CEBPB+FOSB	human	GO:0006355	CEBPB+FOSB	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	FOSB+CEBPB	85	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5255961925967	7	true	2
NORMAN::CEBPB+JUN	human	GO:0006355	CEBPB+JUN	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	JUN+CEBPB	52	2	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.7588791055423119	7	true	2
NORMAN::CEBPB+LYL1	human	GO:0006355	CEBPB+LYL1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	LYL1+CEBPB	159	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.8514516900445388	7	true	2
NORMAN::CEBPB+MAPK1	human	GO:0012501	CEBPB+MAPK1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPB+MAPK1	337	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.263632889646272	8	true	2
NORMAN::CEBPB+OSR2	human	GO:0006355	CEBPB+OSR2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPB+OSR2	188	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.467275464360297	7	true	2
NORMAN::CEBPB+PTPN12	human	GO:0012501	CEBPB+PTPN12	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPB+PTPN12	266	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	0.9544178002036625	7	true	2
NORMAN::CEBPE	human	GO:0030154	CEBPE	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+ctrl|ctrl+CEBPE	1039	1	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.615669005221549	5	true	1
NORMAN::CEBPE+CNN1	human	GO:0030154	CEBPE+CNN1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+CNN1	194	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	0.8078345026107745	6	true	2
NORMAN::CEBPE+ETS2	human	GO:0030154	CEBPE+ETS2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	ETS2+CEBPE	320	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5281258972568699	5	true	2
NORMAN::CEBPE+FOSB	human	GO:0006355	CEBPE+FOSB	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	FOSB+CEBPE	142	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.3497082820424688	6	true	2
NORMAN::CEBPE+KLF1	human	GO:0030154	CEBPE+KLF1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+KLF1	389	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.705428394400524	7	true	2
NORMAN::CEBPE+PTPN12	human	GO:0030154	CEBPE+PTPN12	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+PTPN12	317	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	0.8078345026107745	5	true	2
NORMAN::CEBPE+RUNX1T1	human	GO:0006355	CEBPE+RUNX1T1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+RUNX1T1	1030	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5829911949880806	5	true	2
NORMAN::CEBPE+SET	human	GO:0006355	CEBPE+SET	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	SET+CEBPE	529	2	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5829911949880806	10	true	2
NORMAN::CEBPE+SPI1	human	GO:0030154	CEBPE+SPI1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+SPI1	175	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.705428394400524	7	true	2
NORMAN::CELF2	human	GO:0016071	CELF2	PGC_03b9bb35a509	train	CRISPRa	Norman_CRISPRa	CELF2+ctrl	388	1	development	1	CELF2	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.0188805820447255	2	true	1
NORMAN::CITED1	human	GO:0006913	CITED1	PGC_878d12317fd0	train	CRISPRa	Norman_CRISPRa	CITED1+ctrl	169	1	development	2	CITED1	primary_go_audit_label	primary_go_weight_x_two_species_ic	3.5773920046286074	5	true	1
NORMAN::CKS1B	human	GO:0000278	CKS1B	PGC_80f8570613ec	train	CRISPRa	Norman_CRISPRa	CKS1B+ctrl	189	1	development	3	CKS1B	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.4599220673386415	1	true	1
NORMAN::CLDN6	human	GO:0007155	CLDN6	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CLDN6+ctrl|ctrl+CLDN6	544	1	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.230476775252365	1	true	1
NORMAN::CLDN6+KLF1	human	GO:0030163	CLDN6+KLF1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	KLF1+CLDN6	215	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.1434414705947693	6	true	2
NORMAN::CNN1	human	GO:0007010	CNN1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CNN1+ctrl|ctrl+CNN1	636	1	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.367434969589662	1	true	1
NORMAN::CNN1+ETS2	human	GO:0006355	CNN1+ETS2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	ETS2+CNN1	785	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	0.7498379344680383	4	true	2
NORMAN::CNN1+MAPK1	human	GO:0012501	CNN1+MAPK1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CNN1+MAPK1	325	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.3092150894426096	7	true	2
NORMAN::CNN1+UBASH3B	human	GO:0042060	CNN1+UBASH3B	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	UBASH3B+CNN1	355	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.059755243873149	4	true	2
NORMAN::CNNM4	human	GO:0055085	CNNM4	PGC_1898a504ec41	test	CRISPRa	Norman_CRISPRa	CNNM4+ctrl	376	1	development	1	CNNM4	primary_go_audit_label	primary_go_weight_x_two_species_ic	0.5802898242015956	1	true	1
NORMAN::COL1A1	human	GO:0006355	COL1A1	PGC_5c48379dc317	train	CRISPRa	Norman_CRISPRa	COL1A1+ctrl	257	1	development	2	COL1A1	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.666306521040085	3	true	1
NORMAN::COL2A1	human	GO:0030154	COL2A1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	COL2A1+ctrl|ctrl+COL2A1	474	1	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.99465309286611	2	true	1
NORMAN::COL2A1+KLF1	human	GO:0030154	COL2A1+KLF1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	KLF1+COL2A1	251	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.8949204382228044	5	true	2
NORMAN::CSRNP1	human	GO:0012501	CSRNP1	PGC_7824cf6abf41	train	CRISPRa	Norman_CRISPRa	CSRNP1+ctrl	354	1	final_test	-1	CSRNP1	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.1274745203442404	2	true	1
NORMAN::DLX2	human	GO:0030154	DLX2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	DLX2+ctrl|ctrl+DLX2	606	1	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.4405827892921905	3	true	1
NORMAN::DLX2+SNAI1	human	GO:0030154	DLX2+SNAI1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	SNAI1+DLX2	107	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.7176179410791503	5	true	2
NORMAN::DLX2+ZBTB10	human	GO:0006355	DLX2+ZBTB10	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	ZBTB10+DLX2	74	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.0289442767422523	3	true	2
