候选编号,赛道,靶点,化合物_InChIKey,化合物_CID,SMILES,方向,spearman_rho,emp_p,q_bh,剂量,证据等级,模型与版本,备注
YB-058,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR1E2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.05,0.0001,0.00016842,4.09,家族级,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,家族均值轴复现（12/12 在册）
YB-059,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR1E3,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0498,0.00011,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-060,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR2T7,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0485,0.00013,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-061,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR2W3,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0487,0.00012,0.00016842,4.09,家族级,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,家族均值轴复现（12/12 在册）
YB-062,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR2W6P,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0485,0.00013,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-063,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR2Z1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0498,0.00011,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-064,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4D2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0491,0.00012,0.00016842,4.09,家族级,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,家族均值轴复现（12/12 在册）
YB-065,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4D6,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0488,0.00013,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-066,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4D9,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0488,0.00015,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-067,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4F6,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0492,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-068,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4K1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.049,0.00014,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-069,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR4S1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.049,0.00014,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-070,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR5M11,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0493,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-071,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR5T1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0493,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-072,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR6T1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0492,0.00012,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-073,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR6V1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0488,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-074,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR8U1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0491,0.00012,0.00016842,4.09,家族级,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,家族均值轴复现（12/12 在册）
YB-075,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR8U9,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0493,0.00013,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-076,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR9H1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0488,0.00013,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-077,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,RYR2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0493,0.00016,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-078,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,RYR3,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0496,0.00015,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-079,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,STING1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0498,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-080,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,SUCNR1,DUCXQFAHDINGEV-UHFFFAOYSA-N,748350,C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3,-z（超敏）,0.0505,0.00011,0.00016842,211.0,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
