symbol	status	accession	seq_len	in_pairs	in_norman
TENT4B	ok	Q8NDF8	572	1	0
TFE3	ok	P19532	575	1	0
TFEB	ok	P19484	476	1	0
TFEC	ok	O14948	347	1	0
TGFBR2	ok	P37173	567	0	1
TGOLN2	ok	O43493	437	1	0
THOC3	ok	Q96J01	351	1	0
THUMPD1	ok	Q9NXG2	353	1	0
TIA1	ok	P31483	386	1	0
TIAL1	ok	Q01085	375	1	0
TIPRL	ok	O75663	272	1	0
TLE4	ok	Q04727	773	1	0
TMEM30A	ok	Q9NV96	361	1	0
TMSB4X	ok	P62328	44	0	1
TOP1	ok	P11387	765	1	0
TOP1MT	ok	Q969P6	601	1	0
TOP3A	ok	Q13472	1001	1	0
TP73	ok	O15350	636	0	1
TPR	ok	P12270	2363	1	0
TPRKB	ok	Q9Y3C4	175	1	0
TRIP12	ok	Q14669	2067	1	0
TRIP13	ok	Q15645	432	1	0
TRMT1	ok	Q9NXH9	659	1	0
TRMT10A	ok	Q8TBZ6	339	1	0
TRMT10B	ok	Q6PF06	316	1	0
TSC22D1	ok	Q15714	1073	0	1
TSPYL5	ok	Q86VY4	417	1	0
TSR2	ok	Q969E8	191	1	0
TST	ok	Q16762	297	1	0
TTC1	ok	Q99614	292	1	0
TTF2	ok	Q9UNY4	1162	1	0
TUBA1A	ok	Q71U36	451	1	0
TUBA1B	ok	P68363	451	1	0
TUBA1C	ok	Q9BQE3	449	1	0
TUBA3D	ok	P0DPH8	450	1	0
TUBA4A	ok	P68366	448	1	0
TUBB	ok	P07437	444	1	0
TUBB2A	ok	Q13885	445	1	0
TUBB2B	ok	Q9BVA1	445	1	0
TUBB4B	ok	P68371	445	1	0
TWF1	ok	Q12792	350	1	0
TWF2	ok	Q6IBS0	349	1	0
TXN	ok	P10599	105	1	0
UBA3	ok	Q8TBC4	463	1	0
UBASH3B	ok	Q8TF42	649	0	1
UBC	ok	P0CG48	685	1	0
UBE2A	ok	P49459	152	1	0
UBE2B	ok	P63146	152	1	0
UBE2D1	ok	P51668	147	1	0
UBE2D2	ok	P62837	147	1	0
UBE2D3	ok	P61077	147	1	0
UBE2D4	ok	Q9Y2X8	147	1	0
UBE2E1	ok	P51965	193	1	0
UBE2E3	ok	Q969T4	207	1	0
UBE2G2	ok	P60604	165	1	0
UBE2H	ok	P62256	183	1	0
UBE2J2	ok	Q8N2K1	259	1	0
UBE2M	ok	P61081	183	1	0
UBE2N	ok	P61088	152	1	0
UBE2T	ok	Q9NPD8	197	1	0
UBE2V1	ok	Q13404	147	1	0
UBE2V2	ok	Q15819	145	1	0
UBE3B	ok	Q7Z3V4	1068	1	0
UBE3C	ok	Q15386	1083	1	0
UBE4B	ok	O95155	1302	1	0
UBL5	ok	Q9BZL1	73	1	0
UBQLN1	ok	Q9UMX0	589	1	0
UBQLN2	ok	Q9UHD9	624	1	0
UBQLN4	ok	Q9NRR5	601	1	0
UBR1	ok	Q8IWV7	1749	1	0
UBR2	ok	Q8IWV8	1755	1	0
UBTF	ok	P17480	764	1	0
UBXN7	ok	O94888	489	1	0
UCHL3	ok	P15374	230	1	0
UPF1	ok	Q92900	1129	1	0
UPF2	ok	Q9HAU5	1272	1	0
URM1	ok	Q9BTM9	101	1	0
USP10	ok	Q8NFA0	1604	1	0
USP11	ok	P51784	963	1	0
USP12	ok	O75317	370	1	0
USP13	ok	Q92995	863	1	0
USP14	ok	P54578	494	1	0
USP15	ok	Q9Y4E8	981	1	0
USP22	ok	Q9UPT9	525	1	0
USP3	ok	Q9Y6I4	520	1	0
USP4	ok	Q13107	963	1	0
USP46	ok	P62068	366	1	0
USP5	ok	P45974	858	1	0
USP51	ok	Q70EK9	711	1	0
USP7	ok	Q93009	1102	1	0
VAPA	ok	Q9P0L0	249	1	0
VAPB	ok	O95292	243	1	0
VPS11	ok	Q9H270	941	1	0
VPS13A	ok	Q96RL7	3174	1	0
VPS13C	ok	Q709C8	3753	1	0
VPS16	ok	Q9H269	839	1	0
VPS18	ok	Q9P253	973	1	0
VPS25	ok	Q9BRG1	176	1	0
VPS28	ok	Q9UK41	221	1	0
VPS41	ok	P49754	854	1	0
VPS4A	ok	Q9UN37	437	1	0
VPS4B	ok	O75351	444	1	0
WDHD1	ok	O75717	1129	1	0
WDR5	ok	P61964	334	1	0
WDR82	ok	Q6UXN9	313	1	0
WRNIP1	ok	Q96S55	665	1	0
XPO5	ok	Q9HAV4	1204	1	0
XPOT	ok	O43592	962	1	0
XRCC6	ok	P12956	609	1	0
XRN1	ok	Q8IZH2	1706	1	0
YEATS4	ok	O95619	227	1	0
YOD1	ok	Q5VVQ6	348	1	0
YWHAE	ok	P62258	255	1	0
YWHAH	ok	Q04917	246	1	0
YWHAQ	ok	P27348	245	1	0
YWHAZ	ok	P63104	245	1	0
ZBTB1	ok	Q9Y2K1	713	0	1
ZBTB10	ok	Q96DT7	871	0	1
ZBTB25	ok	P24278	435	0	1
ZC3H15	ok	Q8WU90	426	1	0
ZDHHC14	ok	Q8IZN3	488	1	0
ZDHHC18	ok	Q9NUE0	388	1	0
ZDHHC9	ok	Q9Y397	364	1	0
ZFAND1	ok	Q8TCF1	268	1	0
ZNF318	ok	Q5VUA4	2279	0	1
ZNF593	ok	O00488	134	1	0
ZNF622	ok	Q969S3	477	1	0
