systematic	common	uniprot	in_orthodb	orthodb_og
YCR097W-A		Q96VG6	N	
YCR098C	GIT1	P25346	N	
YCR099C		P25657	N	
YCR100C		P25606	N	
YCR101C		P25607	N	
YCR102C		P25608	N	
YCR102W-A		Q96VG5	N	
YCR104W	PAU3	P25610	N	
YCR105W	ADH7	P25377	N	
YCR106W	RDS1	P25611	N	
YCR107W	AAD3	P25612	N	
YCR108C		Q3E819	N	
YDL001W	RMD1	Q03441	N	
YDL002C	NHP10	Q03435	N	
YDL003W	MCD1	Q12158	N	
YDL004W	ATP16	Q12165	N	
YDL005C	MED2	Q12124	N	
YDL006W	PTC1	P35182	N	
YDL007C-A		Q2V2Q0	N	
YDL007W	RPT2	P40327	N	
YDL008W	APC11	Q12157	N	
YDL009C		Q12210	N	
YDL010W	GRX6	Q12438	N	
YDL011C		Q12023	N	
YDL012C		Q12489	N	
YDL013W	SLX5	P32828	N	
YDL014W	NOP1	P15646	N	
YDL015C	TSC13	Q99190	N	
YDL016C		Q12115	N	
YDL017W	CDC7	P06243	N	
YDL018C	ERP3	Q12403	N	
YDL019C	OSH2	Q12451	N	
YDL020C	RPN4	Q03465	N	
YDL021W	GPM2	Q12008	N	
YDL022C-A		P0C5L6	N	
YDL022W	GPD1	Q00055	N	
YDL023C		Q12264	N	
YDL024C	DIA3	P52290	N	
YDL025C	RTK1	Q12100	N	
YDL025W-A		Q8TGP7	N	
YDL026W		Q12147	N	
YDL027C	MRX9	Q07349	N	
YDL028C	MPS1	P54199	N	
YDL029W	ARP2	P32381	N	
YDL030W	PRP9	P19736	N	
YDL031W	DBP10	Q12389	N	
YDL032W		Q12281	N	
YDL033C	SLM3	Q12093	N	
YDL034W		Q12448	N	
YDL035C	GPR1	Q12361	N	
YDL036C	PUS9	Q12069	N	
YDL037C	BSC1	Q12140	N	
YDL039C	PRM7	Q12459	N	
YDL040C	NAT1	P12945	N	
YDL041W		Q12352	N	
YDL042C	SIR2	P06700	N	
YDL043C	PRP11	Q07350	N	
YDL044C	MTF2	P10849	N	
YDL045C	FAD1	P38913	N	
YDL045W-A	MRP10	O75012	N	
YDL046W	NPC2	Q12408	N	
YDL047W	SIT4	P20604	Y	412870at2759
YDL048C	STP4	Q07351	N	
YDL049C	KNH1	P50112	N	
YDL050C		Q07355	N	
YDL051W	LHP1	P33399	N	
YDL052C	SLC1	P33333	N	
YDL053C	PBP4	Q07362	N	
YDL054C	MCH1	Q07376	N	
YDL055C	PSA1	P41940	N	
YDL056W	MBP1	P39678	N	
YDL057W		Q07379	N	
YDL058W	USO1	P25386	N	
YDL059C	RAD59	Q12223	N	
YDL060W	TSR1	Q07381	N	
YDL061C	RPS29B	P41058	N	
YDL062W		Q07410	N	
YDL063C	SYO1	Q07395	N	
YDL064W	UBC9	P50623	N	
YDL065C	PEX19	Q07418	N	
YDL066W	IDP1	P21954	N	
YDL067C	COX9	P07255	N	
YDL068W		Q07435	N	
YDL069C	CBS1	P14066	N	
YDL070W	BDF2	Q07442	N	
YDL071C		Q07438	N	
YDL072C	YET3	Q07451	N	
YDL073W		Q07454	N	
YDL074C	BRE1	Q07457	N	
YDL075W	RPL31A	P0C2H8	N	
YDL076C	RXT3	Q07458	N	
YDL077C	VAM6	Q07468	N	
YDL078C	MDH3	P32419	N	
YDL079C	MRK1	P50873	N	
YDL080C	THI3	Q07471	N	
YDL081C	RPP1A	P05318	N	
YDL082W	RPL13A	Q12690	N	
YDL083C	RPS16B	P0CX52	N	
YDL084W	SUB2	Q07478	N	
YDL085C-A		Q3E7B7	N	
YDL085W	NDE2	Q07500	N	
YDL086C-A		Q8TGP8	N	
YDL086W		Q07505	N	
YDL087C	LUC7	Q07508	N	
YDL088C	ASM4	Q05166	N	
YDL089W	NUR1	Q12066	N	
YDL090C	RAM1	P22007	N	
YDL091C	UBX3	Q12229	N	
YDL092W	SRP14	P38985	N	
YDL093W	PMT5	P52867	N	
YDL094C		Q07509	N	
YDL095W	PMT1	P33775	N	
YDL096C	OPI6	Q07521	N	
YDL097C	RPN6	Q12377	N	
YDL098C	SNU23	Q12368	N	
YDL099W	BUG1	Q12191	N	
YDL100C	GET3	Q12154	N	
YDL101C	DUN1	P39009	N	
YDL102W	POL3	P15436	N	
YDL103C	QRI1	P43123	N	
YDL104C	QRI7	P43122	N	
YDL105W	NSE4	P43124	N	
YDL106C	PHO2	P07269	N	
YDL107W	MSS2	P40990	N	
YDL108W	KIN28	P06242	N	
YDL109C		Q12103	N	
YDL110C	TMA17	Q12513	N	
YDL111C	RRP42	Q12277	N	
YDL112W	TRM3	Q07527	N	
YDL113C	ATG20	Q07528	N	
YDL114W		Q07530	N	
YDL114W-A		P0C5M5	N	
YDL115C	IWR1	Q07532	N	
YDL116W	NUP84	P52891	N	
YDL117W	CYK3	Q07533	N	
YDL118W		Q07535	N	
YDL119C	HEM25	Q07534	N	
YDL120W	YFH1	Q07540	N	
YDL121C	EXP1	Q07541	N	
YDL122W	UBP1	P25037	N	
YDL123W	SNA4	Q07549	N	
YDL124W		Q07551	N	
YDL125C	HNT1	Q04344	N	
YDL126C	CDC48	P25694	N	
YDL127W	PCL2	P25693	N	
YDL128W	VCX1	Q99385	N	
YDL129W		Q07555	N	
YDL130W	RPP1B	P10622	N	
YDL130W-A	STF1	P01098	N	
YDL131W	LYS21	Q12122	N	
YDL132W	CDC53	Q12018	N	
YDL133C-A	RPL41B	P0CX87	N	
YDL133W	SRF1	Q12516	N	
YDL134C	PPH21	P23594	Y	412870at2759
YDL135C	RDI1	Q12434	N	
YDL136W	RPL35B	P0CX85	N	
YDL137W	ARF2	P19146	Y	4819201at2759
YDL138W	RGT2	Q12300	N	
YDL139C	SCM3	Q12334	N	
YDL140C	RPO21	P04050	N	
YDL141W	BPL1	P48445	N	
YDL142C	CRD1	Q07560	N	
YDL143W	CCT4	P39078	N	
YDL144C		Q07589	N	
YDL145C	COP1	P53622	N	
YDL146W	LDB17	Q12342	N	
YDL147W	RPN5	Q12250	N	
YDL148C	NOP14	Q99207	N	
YDL149W	ATG9	Q12142	N	
YDL150W	RPC53	P25441	N	
YDL151C	BUD30	Q12064	N	
YDL152W		Q12394	N	
YDL153C	SAS10	Q12136	N	
YDL154W	MSH5	Q12175	N	
YDL155W	CLB3	P24870	N	
YDL156W	CMR1	Q12510	N	
YDL157C	DMO2	Q12082	N	
YDL158C		Q12047	N	
YDL159C-B		Q8TGP9	N	
YDL159W	STE7	P06784	Y	533856at2759
YDL159W-A		Q3E774	N	
YDL160C	DHH1	P39517	N	
YDL160C-A	MHF2	Q3E829	N	
YDL161W	ENT1	Q12518	Y	5008023at2759
YDL162C		Q12307	N	
YDL163W		Q12148	N	
YDL164C	CDC9	P04819	N	
YDL165W	CDC36	P06100	N	
YDL166C	FAP7	Q12055	N	
YDL167C	NRP1	P32770	N	
YDL168W	SFA1	P32771	N	
YDL169C	UGX2	P32772	N	
YDL170W	UGA3	P26370	N	
YDL171C	GLT1	Q12680	N	
YDL172C		Q12135	N	
YDL173W	PAR32	Q12515	N	
YDL174C	DLD1	P32891	N	
YDL175C	AIR2	Q12476	N	
YDL176W	GID12	Q12027	N	
YDL177C		Q12257	N	
YDL178W	DLD2	P46681	N	
YDL179W	PCL9	Q12477	N	
YDL180W		Q12301	N	
YDL181W	INH1	P01097	N	
YDL182W	LYS20	P48570	N	
YDL183C		P48569	N	
YDL184C	RPL41A	P0CX86	N	
YDL185C-A		P0C5M4	N	
YDL185W	VMA1	P17255	N	
YDL186W		P48568	N	
YDL187C		Q07613	N	
YDL188C	PPH22	P23595	Y	412870at2759
YDL189W	RBS1	Q05672	N	
YDL190C	UFD2	P54860	N	
YDL191W	RPL35A	P0CX84	N	
YDL192W	ARF1	P11076	Y	4819201at2759
YDL193W	NUS1	Q12063	N	
YDL194W	SNF3	P10870	N	
YDL195W	SEC31	P38968	N	
YDL196W		Q12187	N	
YDL197C	ASF2	P32448	N	
YDL198C	GGC1	P38988	N	
YDL199C		Q12407	N	
YDL200C	MGT1	P26188	N	
YDL201W	TRM8	Q12009	N	
YDL202W	MRPL11	P36521	N	
YDL203C	ACK1	Q07622	N	
YDL204W	RTN2	Q12443	N	
YDL204W-A		P9WEJ5	N	
YDL205C	HEM3	P28789	N	
YDL206W		Q12424	N	
YDL207W	GLE1	Q12315	N	
YDL208W	NHP2	P32495	N	
YDL209C	CWC2	Q12046	N	
YDL210W	UGA4	P32837	N	
YDL211C		Q12121	N	
YDL212W	SHR3	Q02774	N	
YDL213C	NOP6	Q07623	N	
YDL213W-A		Q00590	N	
YDL214C	PRR2	Q12310	N	
YDL215C	GDH2	P33327	N	
YDL216C	RRI1	Q12468	N	
YDL217C	TIM22	Q12328	N	
YDL218W		Q07629	N	
YDL219W	DTD1	Q07648	N	
YDL220C	CDC13	P32797	N	
YDL221W		Q07649	N	
YDL222C	FMP45	Q07651	N	
YDL223C	HBT1	Q07653	N	
YDL224C	WHI4	Q07655	N	
YDL225W	SHS1	Q07657	Y	2731767at2759
YDL226C	GCS1	P35197	N	
YDL227C	HO	P09932	N	
YDL228C		Q07658	N	
YDL229W	SSB1	P11484	N	
YDL230W	PTP1	P25044	N	
YDL231C	BRE4	Q07660	N	
YDL232W	OST4	Q99380	N	
YDL233W	MFG1	Q07684	N	
YDL234C	GYP7	P48365	N	
YDL235C	YPD1	Q07688	N	
YDL236W	PHO13	P19881	N	
YDL237W	AIM6	Q07716	N	
YDL238C	GUD1	Q07729	N	
YDL239C	ADY3	Q07732	N	
YDL240C-A		P0C5L8	N	
YDL240W	LRG1	P35688	N	
YDL241W		Q07738	N	
YDL242W		Q07746	N	
YDL243C	AAD4	Q07747	N	
YDL244W	THI13	Q07748	N	
YDL245C	HXT15	P54854	N	
YDL246C	SOR2	Q07786	N	
YDL247W	MPH2	P0CD99	N	
YDL247W-A		P0C5L9	N	
YDL248W	COS7	Q07788	N	
YDR001C	NTH1	P32356	N	
YDR002W	YRB1	P41920	N	
YDR003W	RCR2	Q03446	N	
YDR003W-A		Q3E7Z7	N	
YDR004W	RAD57	P25301	N	
YDR005C	MAF1	P41910	N	
YDR006C	SOK1	P40317	N	
YDR007W	TRP1	P00912	N	
YDR008C		A0A023PZ99	N	
YDR009W	GAL3	P13045	N	
YDR010C		Q12426	N	
YDR011W	SNQ2	P32568	N	
YDR012W	RPL4B	P49626	N	
YDR013W	PSF1	Q12488	N	
YDR014W	RAD61	Q99359	N	
YDR014W-A	HED1	Q03937	N	
YDR015C		Q12195	N	
YDR016C	DAD1	Q12248	N	
YDR017C	KCS1	Q12494	N	
YDR018C		Q12185	N	
YDR019C	GCV1	P48015	N	
YDR020C	DAS2	Q12084	N	
YDR021W	FAL1	Q12099	N	
YDR022C	ATG31	Q12421	N	
YDR023W	SES1	P07284	N	
YDR024W	FYV1	Q99341	N	
YDR025W	RPS11A	P0CX47	N	
YDR026C	NSI1	Q12457	N	
YDR027C	VPS54	Q12071	N	
YDR028C	REG1	Q00816	N	
YDR029W		Q12111	N	
YDR030C	RAD28	Q12021	N	
YDR031W	MIX14	Q04341	N	
YDR032C	PST2	Q12335	N	
YDR033W	MRH1	Q12117	N	
YDR034C	LYS14	P40971	N	
YDR034C-A		P0C289	N	
YDR034C-C	TY2A-DR1	Q12392	N	
YDR034C-D	TY2B-DR1	Q12472	N	
YDR034W-B	CPP3	Q6Q5X2	N	
YDR035W	ARO3	P14843	N	
YDR036C	EHD3	P28817	N	
YDR037W	KRS1	P15180	N	
YDR038C	ENA5	Q12691	Y	2741472at2759
YDR039C	ENA2	Q01896	Y	2741472at2759
YDR040C	ENA1	P13587	Y	2741472at2759
YDR041W	RSM10	Q03201	N	
YDR042C		Q03205	N	
YDR043C	NRG1	Q03125	N	
YDR044W	HEM13	P11353	N	
YDR045C	RPC11	Q04307	N	
YDR046C	BAP3	P41815	N	
YDR047W	HEM12	P32347	N	
YDR048C		A0A023PZE6	N	
YDR049W	VMS1	Q04311	N	
YDR050C	TPI1	P00942	N	
YDR051C	DET1	Q99288	N	
YDR052C	DBF4	P32325	N	
YDR053W		Q07790	N	
YDR054C	CDC34	P14682	N	
YDR055W	PST1	Q12355	N	
YDR056C	EMC10	Q12025	N	
YDR057W	YOS9	Q99220	N	
YDR058C	TGL2	P54857	N	
YDR059C	UBC5	P15732	Y	535258at2759
YDR060W	MAK21	Q12176	N	
YDR061W		Q12298	Y	5002845at2759
YDR062W	LCB2	P40970	N	
YDR063W	AIM7	Q12156	N	
YDR064W	RPS13	P05756	N	
YDR065W	RRG1	Q12167	N	
YDR066C	RTR2	Q12378	N	
YDR067C	OCA6	Q12454	N	
YDR068W	DOS2	P54858	N	
YDR069C	DOA4	P32571	N	
YDR070C	FMP16	Q12497	N	
YDR071C	PAA1	Q12447	N	
YDR072C	IPT1	P38954	N	
YDR073W	SNF11	P38956	N	
YDR074W	TPS2	P31688	N	
YDR075W	PPH3	P32345	N	
YDR076W	RAD55	P38953	N	
YDR077W	SED1	Q01589	N	
YDR078C	SHU2	P38957	N	
YDR079C-A	TFB5	Q3E7C1	N	
YDR079W	PET100	P38958	N	
YDR080W	VPS41	P38959	N	
YDR081C	PDC2	P32896	N	
YDR082W	STN1	P38960	N	
YDR083W	RRP8	P38961	N	
YDR084C	TVP23	P38962	N	
YDR085C	AFR1	P33304	N	
YDR086C	SSS1	P35179	N	
YDR087C	RRP1	P35178	N	
YDR088C	SLU7	Q02775	N	
YDR089W	VTC5	P38966	N	
YDR090C		Q03193	N	
YDR091C	RLI1	Q03195	N	
YDR092W	UBC13	P52490	Y	535258at2759
YDR093W	DNF2	Q12675	N	
YDR094W		A0A023PYD3	N	
YDR095C		Q03831	N	
YDR096W	GIS1	Q03833	N	
YDR097C	MSH6	Q03834	N	
YDR098C	GRX3	Q03835	N	
YDR098C-A	TY1A-DR1	Q03856	N	
YDR098C-B	TY1B-DR1	Q03855	N	
YDR099W	BMH2	P34730	Y	783301at2759
YDR100W	TVP15	Q03860	N	
YDR101C	ARX1	Q03862	N	
YDR102C		Q03864	N	
YDR103W	STE5	P32917	N	
YDR104C	SPO71	Q03868	N	
YDR105C	TMS1	Q12116	N	
YDR106W	ARP10	Q04549	N	
YDR107C	TMN2	Q04562	N	
YDR108W	TRS85	P46944	N	
YDR109C		Q04585	N	
YDR110W	FOB1	O13329	N	
YDR111C	ALT2	P52892	N	
YDR112W	IRC2	A0A023PXB5	N	
YDR113C	PDS1	P40316	N	
YDR114C		Q04597	N	
YDR115W		Q04598	N	
YDR116C	MRPL1	Q04599	N	
YDR117C	TMA64	Q04600	N	
YDR118W	APC4	Q04601	N	
YDR118W-A		P0C5L7	N	
YDR119W	VBA4	Q04602	N	
YDR119W-A	COX26	Q2V2P9	N	
YDR120C	TRM1	P15565	N	
YDR121W	DPB4	Q04603	N	
YDR122W	KIN1	P13185	N	
YDR123C	INO2	P26798	N	
YDR124W		Q04608	N	
YDR125C	ECM18	Q04623	Y	4841289at2759
YDR126W	SWF1	Q04629	N	
YDR127W	ARO1	P08566	N	
YDR128W	MTC5	Q03897	N	
YDR129C	SAC6	P32599	N	
YDR130C	FIN1	Q03898	N	
YDR131C		Q03899	N	
YDR132C		Q03900	N	
YDR133C		Q03904	N	
YDR134C	CCW22	Q7LHD1	N	
YDR135C	YCF1	P39109	N	
YDR136C	VPS61	Q03913	N	
YDR137W	RGP1	P16664	N	
YDR138W	HPR1	P17629	N	
YDR139C	RUB1	Q03919	N	
YDR140W	MTQ2	Q03920	N	
YDR141C	DOP1	Q03921	N	
YDR142C	PEX7	P39108	N	
YDR143C	SAN1	P22470	N	
YDR144C	MKC7	P53379	N	
YDR145W	TAF12	Q03761	N	
YDR146C	SWI5	P08153	N	
YDR147W	EKI1	Q03764	N	
YDR148C	KGD2	P19262	N	
YDR149C		A0A023PXH9	N	
YDR150W	NUM1	Q00402	N	
YDR151C	CTH1	P47976	N	
YDR152W	GIR2	Q03768	N	
YDR153C	ENT5	Q03769	N	
YDR154C		A0A023PZA4	N	
YDR155C	CPR1	P14832	N	
YDR156W	RPA14	P50106	N	
YDR157W		A0A023PZE8	N	
YDR158W	HOM2	P13663	N	
YDR159W	SAC3	P46674	N	
YDR160W	SSY1	Q03770	N	
YDR161W	ACL4	Q03771	N	
YDR162C	NBP2	Q12163	N	
YDR163W	CWC15	Q03772	N	
YDR164C	SEC1	P30619	N	
YDR165W	TRM82	Q03774	N	
YDR166C	SEC5	P89102	N	
YDR167W	TAF10	Q12030	N	
YDR168W	CDC37	P06101	N	
YDR169C	STB3	Q12427	N	
YDR169C-A		Q3E789	N	
YDR170C	SEC7	P11075	N	
YDR170W-A	TY1A-DR2	Q03964	N	
YDR171W	HSP42	Q12329	N	
YDR172W	SUP35	P05453	N	
YDR173C	ARG82	P07250	N	
YDR174W	HMO1	Q03973	N	
YDR175C	RSM24	Q03976	N	
YDR176W	NGG1	P32494	N	
YDR177W	UBC1	P21734	N	
YDR178W	SDH4	P37298	N	
YDR179C	CSN9	Q03981	N	
YDR179W-A		Q03983	N	
YDR180W	SCC2	Q04002	N	
YDR181C	SAS4	Q04003	N	
YDR182W	CDC1	P40986	N	
YDR182W-A		Q3E796	N	
YDR183C-A		P0C5M3	N	
YDR183W	PLP1	Q04004	N	
YDR184C	ATC1	Q04005	N	
YDR185C	UPS3	Q04006	N	
YDR186C	SND1	Q04007	N	
YDR187C		A0A023PYD7	N	
YDR188W	CCT6	P39079	N	
YDR189W	SLY1	P22213	N	
YDR190C	RVB1	Q03940	N	
YDR191W	HST4	P53688	N	
YDR192C	NUP42	P49686	N	
YDR193W		P0C5E0	N	
YDR194C	MSS116	P15424	N	
YDR194W-A		Q3E818	N	
YDR195W	REF2	P42073	N	
YDR196C	CAB5	Q03941	N	
YDR197W	CBS2	P14905	N	
YDR198C	RKM2	Q03942	N	
YDR199W		A0A023PXB9	N	
YDR200C	VPS64	Q03944	N	
YDR201W	SPC19	Q03954	N	
YDR202C	RAV2	Q03956	N	
YDR203W		A0A023PXI4	N	
YDR204W	COQ4	O13525	N	
YDR205W	MSC2	Q03455	Y	5005910at2759
YDR206W	EBS1	Q03466	N	
YDR207C	UME6	P39001	N	
YDR208W	MSS4	P38994	N	
YDR209C		Q03480	N	
YDR210C-C	TY1A-DR3	Q12441	N	
YDR210C-D	TY1B-DR3	Q99231	N	
YDR210W	CPP2	Q03482	N	
YDR210W-A	TY2A-DR2	Q03483	N	
YDR210W-B	TY2B-DR2	Q03494	N	
YDR211W	GCD6	P32501	N	
YDR212W	TCP1	P12612	N	
YDR213W	UPC2	Q12151	N	
YDR214W	AHA1	Q12449	N	
YDR215C		Q12240	N	
YDR216W	ADR1	P07248	N	
YDR217C	RAD9	P14737	N	
YDR218C	SPR28	Q04921	Y	2731767at2759
YDR219C	MFB1	Q04922	N	
YDR220C		Q04923	N	
YDR221W	GTB1	Q04924	N	
YDR222W		Q04925	N	
YDR223W	CRF1	Q04930	N	
YDR224C	HTB1	P02293	N	
YDR225W	HTA1	P04911	N	
YDR226W	ADK1	P07170	N	
YDR227W	SIR4	P11978	N	
YDR228C	PCF11	P39081	N	
YDR229W	IVY1	Q04934	N	
YDR230W		A0A023PZA9	N	
YDR231C	COX20	Q04935	N	
YDR232W	HEM1	P09950	N	
YDR233C	RTN1	Q04947	N	
YDR234W	LYS4	P49367	N	
YDR235W	PRP42	Q03776	N	
YDR236C	FMN1	Q03778	N	
YDR237W	MRPL7	P36519	N	
YDR238C	SEC26	P41810	N	
YDR239C		Q03780	N	
YDR240C	SNU56	Q03782	N	
YDR241W	BUD26	Q03783	N	
YDR242W	AMD2	P22580	N	
YDR243C	PRP28	P23394	N	
YDR244W	PEX5	P35056	N	
YDR245W	MNN10	P50108	N	
YDR246W	TRS23	Q03784	N	
YDR246W-A		Q3E763	N	
YDR247W	VHS1	Q03785	N	
YDR248C		Q03786	N	
YDR249C		Q03787	N	
YDR250C		Q03788	N	
YDR251W	PAM1	P37304	N	
YDR252W	BTT1	P40314	N	
YDR253C	MET32	Q12041	N	
YDR254W	CHL4	P38907	N	
YDR255C	RMD5	Q12508	N	
YDR256C	CTA1	P15202	N	
YDR257C	RKM4	Q12504	N	
YDR258C	HSP78	P33416	N	
YDR259C	YAP6	Q03935	N	
YDR260C	SWM1	Q12379	N	
YDR261C	EXG2	P52911	N	
YDR261C-C	TY1A-DR4	O74302	N	
YDR261C-D	TY1B-DR4	Q07793	N	
YDR261W-A	TY2A-DR3	Q99303	N	
YDR261W-B	TY2B-DR3	Q07791	N	
YDR262W		Q12331	N	
YDR263C	DIN7	Q12086	N	
YDR264C	AKR1	P39010	N	
YDR265W	PEX10	Q05568	N	
YDR266C	HEL2	Q05580	N	
YDR267C	CIA1	Q05583	N	
YDR268W	MSW1	P04803	N	
YDR269C		P87281	N	
YDR270W	CCC2	P38995	N	
YDR271C		P87282	N	
YDR272W	GLO2	Q05584	N	
YDR273W	DON1	Q05610	N	
YDR274C		P87283	N	
YDR275W	BSC2	Q05611	N	
YDR276C	PMP3	P87284	N	
YDR277C	MTH1	P35198	N	
YDR278C		Q05612	N	
YDR279W	RNH202	Q05635	N	
YDR280W	RRP45	Q05636	N	
YDR281C	PHM6	Q05637	N	
YDR282C	MRX10	Q05648	N	
YDR283C	GCN2	P15442	N	
YDR284C	DPP1	Q05521	N	
YDR285W	ZIP1	P31111	N	
YDR286C		Q05530	N	
YDR287W	INM2	Q05533	N	
YDR288W	NSE3	Q05541	N	
YDR289C	RTT103	Q05543	N	
YDR290W		P87280	N	
YDR291W	HRQ1	Q05549	N	
YDR292C	SRP101	P32916	N	
YDR293C	SSD1	P24276	N	
YDR294C	DPL1	Q05567	N	
YDR295C	HDA2	Q06629	N	
YDR296W	MHR1	Q06630	N	
YDR297W	SUR2	P38992	N	
YDR298C	ATP5	P09457	N	
YDR299W	BFR2	Q06631	N	
YDR300C	PRO1	P32264	N	
YDR301W	CFT1	Q06632	N	
YDR302W	GPI11	Q06636	N	
YDR303C	RSC3	Q06639	N	
YDR304C	CPR5	P35176	N	
YDR305C	HNT2	P49775	N	
YDR306C		Q06640	N	
YDR307W	PMT7	Q06644	N	
YDR308C	SRB7	P47822	N	
YDR309C	GIC2	Q06648	N	
YDR310C	SUM1	P46676	N	
YDR311W	TFB1	P32776	N	
YDR312W	SSF2	Q12153	N	
YDR313C	PIB1	Q06651	N	
YDR314C	RAD34	Q06665	N	
YDR315C	IPK1	Q06667	N	
YDR316W	OMS1	Q06668	N	
YDR316W-A	TY1A-DR5	P0CX65	N	
YDR316W-B	TY1B-DR5	P0C2I2	N	
YDR317W	HIM1	Q06674	N	
YDR318W	MCM21	Q06675	N	
YDR319C	YFT2	Q06676	N	
YDR320C	SWA2	Q06677	N	
YDR320C-A	DAD4	P69851	N	
YDR320W-B		P0C5M0	N	
YDR321W	ASP1	P38986	N	
YDR322C-A	TIM11	P81449	N	
YDR322W	MRPL35	Q06678	N	
YDR323C	PEP7	P32609	N	
YDR324C	UTP4	Q06679	N	
YDR325W	YCG1	Q06680	N	
YDR326C	YSP2	Q06681	N	
YDR327W		P87288	N	
YDR328C	SKP1	P52286	N	
YDR329C	PEX3	P28795	N	
YDR330W	UBX5	Q06682	N	
YDR331W	GPI8	P49018	N	
YDR332W	IRC3	Q06683	N	
YDR333C	RQC1	Q05468	N	
YDR334W	SWR1	Q05471	N	
YDR335W	MSN5	P52918	N	
YDR336W	MRX8	Q05473	N	
YDR337W	MRPS28	P21771	N	
YDR338C		Q05497	N	
YDR339C	FCF1	Q05498	N	
YDR340W		Q05503	N	
YDR341C		Q05506	N	
YDR342C	HXT7	P39004	N	
YDR343C	HXT6	P39003	N	
YDR344C		Q05510	N	
YDR345C	HXT3	P32466	N	
YDR346C	SVF1	Q05515	N	
YDR347W	MRP1	P10662	N	
YDR348C	PAL1	Q05518	N	
YDR349C	YPS7	Q06325	N	
YDR350C	ATP22	P50273	N	
YDR351W	SBE2	P42223	N	
YDR352W	YPQ2	Q06328	N	
YDR353W	TRR1	P29509	N	
YDR354C-A		Q8TGP6	N	
YDR354W	TRP4	P07285	N	
YDR355C		P87285	N	
YDR356W	SPC110	P32380	N	
YDR357C	CNL1	Q06333	N	
YDR358W	GGA1	Q06336	N	
YDR359C	EAF1	Q06337	N	
YDR360W	OPI7	P87286	N	
YDR361C	BCP1	Q06338	N	
YDR362C	TFC6	Q06339	N	
YDR363W	ESC2	Q06340	N	
YDR363W-A	SEM1	O94742	N	
YDR364C	CDC40	P40968	Y	5013778at2759
YDR365C	ESF1	Q06344	N	
YDR365W-A	TY1A-DR6	P0CX70	N	
YDR365W-B	TY1B-DR6	P0C2I3	N	
YDR366C		P87287	N	
YDR367W	KEI1	Q06346	N	
YDR368W	YPR1	Q12458	Y	4660629at2759
YDR369C	XRS2	P33301	N	
YDR370C	DXO1	Q06349	N	
YDR371C-A		P0C5M1	N	
YDR371W	CTS2	Q06350	N	
YDR372C	VPS74	Q06385	N	
YDR373W	FRQ1	Q06389	Y	297055at2759
YDR374C	PHO92	Q06390	N	
YDR374W-A	WIP1	Q2V2P8	N	
YDR375C	BCS1	P32839	N	
YDR376W	ARH1	P48360	N	
YDR377W	ATP17	Q06405	N	
YDR378C	LSM6	Q06406	N	
YDR379C-A	SDH6	Q3E785	N	
YDR379W	RGA2	Q06407	N	
YDR380W	ARO10	Q06408	N	
YDR381C-A		Q3E6R5	N	
YDR381W	YRA1	Q12159	N	
YDR382W	RPP2B	P02400	N	
YDR383C	NKP1	Q12493	N	
YDR384C	ATO3	Q12359	N	
YDR386W	MUS81	Q04149	N	
YDR387C		Q04162	N	
YDR388W	RVS167	P39743	N	
YDR389W	SAC7	P17121	N	
YDR390C	UBA2	P52488	N	
YDR391C	IAT4	Q04170	N	
YDR392W	SPT3	P06844	N	
YDR393W	SHE9	Q04172	N	
YDR394W	RPT3	P33298	N	
YDR395W	SXM1	Q04175	N	
YDR396W		O13522	N	
YDR397C	NCB2	Q92317	N	
YDR398W	UTP5	Q04177	N	
YDR399W	HPT1	Q04178	N	
YDR400W	URH1	Q04179	N	
YDR401W		O13523	N	
YDR402C	DIT2	P21595	N	
YDR403W	DIT1	P21623	N	
YDR404C	RPB7	P34087	N	
YDR405W	MRP20	P32387	N	
YDR406W	PDR15	Q04182	N	
YDR406W-A		P0C5M2	N	
YDR407C	TRS120	Q04183	N	
YDR408C	ADE8	P04161	N	
YDR409W	SIZ1	Q04195	N	
YDR410C	STE14	P32584	N	
YDR411C	DFM1	Q12743	N	
YDR412W	RRP17	Q04031	N	
YDR413C		P87266	N	
YDR414C	ERD1	P16151	N	
YDR415C		Q04033	N	
YDR416W	SYF1	Q04048	N	
YDR417C		P87267	N	
YDR418W	RPL12B	P0CX54	N	
YDR419W	RAD30	Q04049	N	
YDR420W	HKR1	P41809	N	
YDR421W	ARO80	Q04052	N	
YDR422C	SIP1	P32578	N	
YDR423C	CAD1	P24813	N	
YDR424C	DYN2	Q02647	N	
YDR425W	SNX41	Q04053	N	
YDR426C		P87268	N	
YDR427W	RPN9	Q04062	N	
YDR428C	BNA7	Q04066	N	
YDR429C	TIF35	Q04067	N	
YDR430C	CYM1	P32898	N	
YDR431W		Q04069	N	
YDR432W	NPL3	Q01560	Y	4990516at2759
YDR433W		P87269	N	
YDR434W	GPI17	Q04080	N	
YDR435C	PPM1	Q04081	N	
YDR436W	PPZ2	P33329	N	
YDR437W	GPI19	Q04082	N	
YDR438W	THI74	Q04083	Y	2612708at2759
YDR439W	LRS4	Q04087	N	
YDR440W	DOT1	Q04089	N	
YDR441C	APT2	P36973	N	
YDR442W		P87270	N	
YDR443C	SSN2	P38931	N	
YDR444W		Q04093	N	
YDR445C		Q04100	N	
YDR446W	ECM11	Q04110	N	
YDR447C	RPS17B	P14127	N	
YDR448W	ADA2	Q02336	N	
