yeast_systematic	yeast_common	yeast_uniprot	human_symbol	human_uniprot	ortholog_type	cluster_id	cluster_score	yeast_confidence	human_confidence	source
YAL048C	GEM1	P39722	RHOT2	Q8IXI1	m:n	542	295	1.0	0.47	InParanoid9
YAL048C	GEM1	P39722	RHOT1	Q8IXI2	m:n	542	295	1.0	1.0	InParanoid9
YLR377C	FBP1	P09201	FBP2	O00757	m:n	543	295	1.0	0.621	InParanoid9
YLR377C	FBP1	P09201	FBP1	P09467	m:n	543	295	1.0	1.0	InParanoid9
YOR206W	NOC2	P39744	NOC2L	Q9Y3T9	1:1	544	295	1.0	1.0	InParanoid9
YNR012W	URK1	P27515	UCKL1	Q9NWZ5	1:1	545	295	1.0	1.0	InParanoid9
YLL031C	GPI13	Q07830	PIGO	Q8TEQ8	1:1	546	295	1.0	1.0	InParanoid9
YPL029W	SUV3	P32580	SUPV3L1	Q8IYB8	1:1	547	294	1.0	1.0	InParanoid9
YDL100C	GET3	Q12154	GET3	O43681	1:1	548	294	1.0	1.0	InParanoid9
YOR070C	GYP1	Q08484	TBC1D22A	Q8WUA7	m:n	549	293	1.0	0.469	InParanoid9
YOR070C	GYP1	Q08484	TBC1D22B	Q9NU19	m:n	549	293	1.0	1.0	InParanoid9
YPL090C	RPS6A	P0CX37	RPS6	P62753	m:n	550	293	1.0	1.0	InParanoid9
YBR181C	RPS6B	P0CX38	RPS6	P62753	m:n	550	293	1.0	1.0	InParanoid9
YLR216C	CPR6	P53691	PPID	Q08752	1:1	551	293	1.0	1.0	InParanoid9
YGR175C	ERG1	P32476	SQLE	Q14534	1:1	552	293	1.0	1.0	InParanoid9
YDL174C	DLD1	P32891	LDHD	Q86WU2	1:1	553	293	1.0	1.0	InParanoid9
YPL154C	PEP4	P07267	NAPSA	O96009	m:n	554	291	1.0	0.176	InParanoid9
YPL154C	PEP4	P07267	REN	P00797	m:n	554	291	1.0	0.068	InParanoid9
YPL154C	PEP4	P07267	CTSD	P07339	m:n	554	291	1.0	1.0	InParanoid9
YPL154C	PEP4	P07267	PGA4	P0DJD7	m:n	554	291	1.0	0.076	InParanoid9
YPL154C	PEP4	P07267	PGA3	P0DJD8	m:n	554	291	1.0	0.076	InParanoid9
YPL154C	PEP4	P07267	PGA5	P0DJD9	m:n	554	291	1.0	0.074	InParanoid9
YPL154C	PEP4	P07267	CTSE	P14091	m:n	554	291	1.0	0.133	InParanoid9
YBR029C	CDS1	P38221	CDS2	O95674	m:n	555	291	1.0	0.589	InParanoid9
YBR029C	CDS1	P38221	CDS1	Q92903	m:n	555	291	1.0	1.0	InParanoid9
YPR145W	ASN1	P49089	ASNS	P08243	m:n	556	291	0.85	1.0	InParanoid9
YGR124W	ASN2	P49090	ASNS	P08243	m:n	556	291	1.0	1.0	InParanoid9
YGR231C	PHB2	P50085	PHB2	Q99623	1:1	557	291	1.0	1.0	InParanoid9
YDL201W	TRM8	Q12009	METTL1	Q9UBP6	1:1	558	291	1.0	1.0	InParanoid9
YIL003W	CFD1	P40558	NUBP2	Q9Y5Y2	1:1	559	291	1.0	1.0	InParanoid9
YLR075W	RPL10	P41805	RPL10	P27635	m:n	560	290	1.0	1.0	InParanoid9
YLR075W	RPL10	P41805	RPL10L	Q96L21	m:n	560	290	1.0	0.898	InParanoid9
YHL033C	RPL8A	P17076	RPL7A	P62424	m:n	561	290	0.962	1.0	InParanoid9
YLL045C	RPL8B	P29453	RPL7A	P62424	m:n	561	290	1.0	1.0	InParanoid9
YNL267W	PIK1	P39104	PI4KB	Q9UBF8	1:1	562	290	1.0	1.0	InParanoid9
YGR194C	XKS1	P42826	XYLB	O75191	1:1	563	290	1.0	1.0	InParanoid9
YML080W	DUS1	P53759	DUS1L	Q6P1R4	1:1	564	290	1.0	1.0	InParanoid9
YBR041W	FAT1	P38225	SLC27A2	O14975	m:n	565	289	1.0	1.0	InParanoid9
YBR041W	FAT1	P38225	SLC27A3	Q5K4L6	m:n	565	289	1.0	0.223	InParanoid9
YBR041W	FAT1	P38225	SLC27A4	Q6P1M0	m:n	565	289	1.0	0.118	InParanoid9
YBR041W	FAT1	P38225	SLC27A1	Q6PCB7	m:n	565	289	1.0	0.11	InParanoid9
YBR041W	FAT1	P38225	SLC27A6	Q9Y2P4	m:n	565	289	1.0	0.368	InParanoid9
YBR041W	FAT1	P38225	SLC27A5	Q9Y2P5	m:n	565	289	1.0	0.277	InParanoid9
YER061C	CEM1	P39525	OXSM	Q9NWU1	1:1	566	289	1.0	1.0	InParanoid9
YBR058C	UBP14	P38237	USP5	P45974	m:n	567	288	1.0	1.0	InParanoid9
YBR058C	UBP14	P38237	USP13	Q92995	m:n	567	288	1.0	0.534	InParanoid9
YCR053W	THR4	P16120	THNSL2	Q86YJ6	1:1	568	288	1.0	1.0	InParanoid9
YKL045W	PRI2	P20457	PRIM2	P49643	1:1	569	287	1.0	1.0	InParanoid9
YBR227C	MCX1	P38323	CLPX	O76031	1:1	570	287	1.0	1.0	InParanoid9
YCR024C	SLM5	P25345	NARS2	Q96I59	1:1	571	287	1.0	1.0	InParanoid9
YBR087W	RFC5	P38251	RFC3	P40938	1:1	572	287	1.0	1.0	InParanoid9
YHR005C	GPA1	P08539	GNAT3	A8MTJ3	m:n	573	286	1.0	0.534	InParanoid9
YHR005C	GPA1	P08539	GNA14	O95837	m:n	573	286	1.0	0.15	InParanoid9
YHR005C	GPA1	P08539	GNAI2	P04899	m:n	573	286	1.0	0.812	InParanoid9
YHR005C	GPA1	P08539	GNAI3	P08754	m:n	573	286	1.0	1.0	InParanoid9
YHR005C	GPA1	P08539	GNAO1	P09471	m:n	573	286	1.0	0.538	InParanoid9
YHR005C	GPA1	P08539	GNAT1	P11488	m:n	573	286	1.0	0.505	InParanoid9
YHR005C	GPA1	P08539	GNAZ	P19086	m:n	573	286	1.0	0.473	InParanoid9
YHR005C	GPA1	P08539	GNAT2	P19087	m:n	573	286	1.0	0.541	InParanoid9
YHR005C	GPA1	P08539	GNA11	P29992	m:n	573	286	1.0	0.121	InParanoid9
YHR005C	GPA1	P08539	GNAQ	P50148	m:n	573	286	1.0	0.143	InParanoid9
YHR005C	GPA1	P08539	GNAI1	P63096	m:n	573	286	1.0	1.0	InParanoid9
YER020W	GPA2	P10823	GNAT3	A8MTJ3	m:n	573	286	1.0	0.534	InParanoid9
YER020W	GPA2	P10823	GNA14	O95837	m:n	573	286	1.0	0.15	InParanoid9
YER020W	GPA2	P10823	GNAI2	P04899	m:n	573	286	1.0	0.812	InParanoid9
YER020W	GPA2	P10823	GNAI3	P08754	m:n	573	286	1.0	1.0	InParanoid9
YER020W	GPA2	P10823	GNAO1	P09471	m:n	573	286	1.0	0.538	InParanoid9
YER020W	GPA2	P10823	GNAT1	P11488	m:n	573	286	1.0	0.505	InParanoid9
YER020W	GPA2	P10823	GNAZ	P19086	m:n	573	286	1.0	0.473	InParanoid9
YER020W	GPA2	P10823	GNAT2	P19087	m:n	573	286	1.0	0.541	InParanoid9
YER020W	GPA2	P10823	GNA11	P29992	m:n	573	286	1.0	0.121	InParanoid9
YER020W	GPA2	P10823	GNAQ	P50148	m:n	573	286	1.0	0.143	InParanoid9
YER020W	GPA2	P10823	GNAI1	P63096	m:n	573	286	1.0	1.0	InParanoid9
YGL205W	POX1	P13711	ACOX1	Q15067	m:n	574	286	1.0	1.0	InParanoid9
YGL205W	POX1	P13711	ACOX2	Q99424	m:n	574	286	1.0	0.256	InParanoid9
YNL207W	RIO2	P40160	RIOK2	Q9BVS4	1:1	575	286	1.0	1.0	InParanoid9
YML069W	POB3	Q04636	SSRP1	Q08945	1:1	576	286	1.0	1.0	InParanoid9
YOL033W	MSE1	P48525	EARS2	Q5JPH6	1:1	577	285	1.0	1.0	InParanoid9
YBR247C	ENP1	P38333	BYSL	Q13895	1:1	578	285	1.0	1.0	InParanoid9
YJR159W	SOR1	P35497	SORD	Q00796	m:n	579	284	0.255	1.0	InParanoid9
YDL246C	SOR2	Q07786	SORD	Q00796	m:n	579	284	0.248	1.0	InParanoid9
YLR070C	XYL2	Q07993	SORD	Q00796	m:n	579	284	1.0	1.0	InParanoid9
YER003C	PMI40	P29952	MPI	P34949	1:1	580	284	1.0	1.0	InParanoid9
YOR005C	DNL4	Q08387	LIG4	P49917	1:1	581	284	1.0	1.0	InParanoid9
YFL045C	SEC53	P07283	PMM2	O15305	m:n	582	283	1.0	1.0	InParanoid9
YFL045C	SEC53	P07283	PMM1	Q92871	m:n	582	283	1.0	0.269	InParanoid9
YCR002C	CDC10	P25342	SEPTIN12	Q8IYM1	m:n	583	283	1.0	0.254	InParanoid9
YCR002C	CDC10	P25342	SEPTIN3	Q9UH03	m:n	583	283	1.0	1.0	InParanoid9
YHR111W	UBA4	P38820	MOCS3	O95396	1:1	584	283	1.0	1.0	InParanoid9
YDL108W	KIN28	P06242	CDK7	P50613	1:1	585	283	1.0	1.0	InParanoid9
YDR364C	CDC40	P40968	CDC40	O60508	1:1	586	283	1.0	1.0	InParanoid9
YPR004C	AIM45	Q12480	ETFA	P13804	1:1	587	283	1.0	1.0	InParanoid9
YJR013W	GPI14	P47088	PIGM	Q9H3S5	1:1	588	282	1.0	1.0	InParanoid9
YPL122C	TFB2	Q02939	GTF2H4	Q92759	1:1	589	282	1.0	1.0	InParanoid9
YBR220C		P38318	SLC33A1	O00400	1:1	590	282	1.0	1.0	InParanoid9
YPL209C	IPL1	P38991	AURKA	O14965	m:n	591	281	1.0	0.34	InParanoid9
YPL209C	IPL1	P38991	AURKB	Q96GD4	m:n	591	281	1.0	0.57	InParanoid9
YPL209C	IPL1	P38991	AURKC	Q9UQB9	m:n	591	281	1.0	1.0	InParanoid9
YGR214W	RPS0A	P32905	RPSA	P08865	m:n	592	281	0.804	1.0	InParanoid9
YLR048W	RPS0B	P46654	RPSA	P08865	m:n	592	281	1.0	1.0	InParanoid9
YOL038W	PRE6	P40303	PSMA7	O14818	m:n	593	281	1.0	1.0	InParanoid9
YOL038W	PRE6	P40303	PSMA8	Q8TAA3	m:n	593	281	1.0	0.602	InParanoid9
YHR024C	MAS2	P11914	PMPCA	Q10713	1:1	594	281	1.0	1.0	InParanoid9
YPR103W	PRE2	P30656	PSMB8	P28062	m:n	595	280	1.0	0.111	InParanoid9
YPR103W	PRE2	P30656	PSMB5	P28074	m:n	595	280	1.0	1.0	InParanoid9
YGR028W	MSP1	P28737	ATAD1	Q8NBU5	1:1	596	280	1.0	1.0	InParanoid9
YER078C	ICP55	P40051	XPNPEP3	Q9NQH7	1:1	597	280	1.0	1.0	InParanoid9
YJR132W	NMD5	P46970	IPO8	O15397	m:n	598	279	1.0	0.605	InParanoid9
YJR132W	NMD5	P46970	IPO7	O95373	m:n	598	279	1.0	1.0	InParanoid9
YML042W	CAT2	P32796	CHAT	P28329	m:n	599	279	1.0	0.201	InParanoid9
YML042W	CAT2	P32796	CRAT	P43155	m:n	599	279	1.0	1.0	InParanoid9
YML063W	RPS1B	P23248	RPS3A	P61247	m:n	600	279	0.906	1.0	InParanoid9
YLR441C	RPS1A	P33442	RPS3A	P61247	m:n	600	279	1.0	1.0	InParanoid9
YER053C	PIC2	P40035	SLC25A3	Q00325	1:1	601	279	1.0	1.0	InParanoid9
YML061C	PIF1	P07271	PIF1	Q9H611	m:n	602	278	1.0	1.0	InParanoid9
YHR031C	RRM3	P38766	PIF1	Q9H611	m:n	602	278	0.064	1.0	InParanoid9
YPR165W	RHO1	P06780	RHOC	P08134	m:n	603	276	1.0	0.79	InParanoid9
YPR165W	RHO1	P06780	RHOA	P61586	m:n	603	276	1.0	1.0	InParanoid9
YPR165W	RHO1	P06780	RHOB	P62745	m:n	603	276	1.0	0.513	InParanoid9
YOR157C	PUP1	P25043	PSMB10	P40306	m:n	604	276	1.0	0.181	InParanoid9
YOR157C	PUP1	P25043	PSMB7	Q99436	m:n	604	276	1.0	1.0	InParanoid9
YOR001W	RRP6	Q12149	EXOSC10	Q01780	1:1	605	276	1.0	1.0	InParanoid9
YGL065C	ALG2	P43636	ALG2	Q9H553	1:1	606	276	1.0	1.0	InParanoid9
YPL009C	RQC2	Q12532	NEMF	O60524	1:1	607	276	1.0	1.0	InParanoid9
YER156C		P40093	MYG1	Q9HB07	1:1	608	276	1.0	1.0	InParanoid9
YJR110W	YMR1	P47147	MTM1	Q13496	m:n	609	275	1.0	0.063	InParanoid9
YJR110W	YMR1	P47147	MTMR2	Q13614	m:n	609	275	1.0	0.062	InParanoid9
YJR110W	YMR1	P47147	MTMR8	Q96EF0	m:n	609	275	1.0	0.413	InParanoid9
YJR110W	YMR1	P47147	MTMR9	Q96QG7	m:n	609	275	1.0	0.059	InParanoid9
YJR110W	YMR1	P47147	MTMR7	Q9Y216	m:n	609	275	1.0	1.0	InParanoid9
YJR110W	YMR1	P47147	MTMR6	Q9Y217	m:n	609	275	1.0	0.428	InParanoid9
YBR061C	TRM7	P38238	FTSJ1	Q9UET6	1:1	610	275	1.0	1.0	InParanoid9
YNL075W	IMP4	P53941	IMP4	Q96G21	1:1	611	275	1.0	1.0	InParanoid9
YGR253C	PUP2	P32379	PSMA5	P28066	1:1	612	275	1.0	1.0	InParanoid9
YNL048W	ALG11	P53954	ALG11	Q2TAA5	1:1	613	275	1.0	1.0	InParanoid9
YBL098W	BNA4	P38169	KMO	O15229	1:1	614	274	1.0	1.0	InParanoid9
YBR079C	RPG1	P38249	EIF3A	Q14152	1:1	615	274	1.0	1.0	InParanoid9
YER141W	COX15	P40086	COX15	Q7KZN9	1:1	616	273	1.0	1.0	InParanoid9
YJR123W	RPS5	P26783	RPS5	P46782	1:1	617	273	1.0	1.0	InParanoid9
YLR056W	ERG3	P32353	SC5D	O75845	1:1	618	273	1.0	1.0	InParanoid9
YPL081W	RPS9A	O13516	RPS9	P46781	m:n	619	272	0.898	1.0	InParanoid9
YBR189W	RPS9B	P05755	RPS9	P46781	m:n	619	272	1.0	1.0	InParanoid9
YOR184W	SER1	P33330	PSAT1	Q9Y617	1:1	620	271	1.0	1.0	InParanoid9
YGL123W	RPS2	P25443	RPS2	P15880	1:1	621	271	1.0	1.0	InParanoid9
YBL037W	APL3	P38065	AP2A2	O94973	m:n	622	270	1.0	1.0	InParanoid9
YBL037W	APL3	P38065	AP2A1	O95782	m:n	622	270	1.0	0.8	InParanoid9
YCR017C	CWH43	P25618	CWH43	Q9H720	1:1	623	270	1.0	1.0	InParanoid9
YMR116C	ASC1	P38011	RACK1	P63244	1:1	624	270	1.0	1.0	InParanoid9
YJR036C	HUL4	P40985	HECTD2	Q5U5R9	1:1	625	270	1.0	1.0	InParanoid9
YNL219C	ALG9	P53868	ALG9	Q9H6U8	1:1	626	270	1.0	1.0	InParanoid9
YDR050C	TPI1	P00942	TPI1	P60174	1:1	627	269	1.0	1.0	InParanoid9
YDL195W	SEC31	P38968	SEC31A	O94979	m:n	628	268	1.0	1.0	InParanoid9
YDL195W	SEC31	P38968	SEC31B	Q9NQW1	m:n	628	268	1.0	0.367	InParanoid9
YEL022W	GEA2	P39993	GBF1	Q92538	m:n	629	268	1.0	1.0	InParanoid9
YJR031C	GEA1	P47102	GBF1	Q92538	m:n	629	268	0.427	1.0	InParanoid9
YLR129W	DIP2	Q12220	WDR3	Q9UNX4	1:1	630	268	1.0	1.0	InParanoid9
YPR118W	MRI1	Q06489	MRI1	Q9BV20	1:1	631	268	1.0	1.0	InParanoid9
YPR108W	RPN7	Q06103	PSMD6	Q15008	1:1	632	268	1.0	1.0	InParanoid9
YLR351C	NIT3	P49954	NIT2	Q9NQR4	1:1	633	268	1.0	1.0	InParanoid9
YOR119C	RIO1	Q12196	RIOK1	Q9BRS2	1:1	634	268	1.0	1.0	InParanoid9
YAR035W	YAT1	P80235	CPT2	P23786	1:1	635	268	1.0	1.0	InParanoid9
YDL036C	PUS9	Q12069	RPUSD2	Q8IZ73	m:n	636	267	1.0	1.0	InParanoid9
YOL066C	RIB2	Q12362	RPUSD2	Q8IZ73	m:n	636	267	0.451	1.0	InParanoid9
YER031C	YPT31	P38555	RAB11A	P62491	m:n	637	266	1.0	0.72	InParanoid9
YER031C	YPT31	P38555	RAB11B	Q15907	m:n	637	266	1.0	1.0	InParanoid9
YGL210W	YPT32	P51996	RAB11A	P62491	m:n	637	266	0.555	0.72	InParanoid9
YGL210W	YPT32	P51996	RAB11B	Q15907	m:n	637	266	0.555	1.0	InParanoid9
YFR053C	HXK1	P04806	GCK	P35557	m:n	638	266	1.0	1.0	InParanoid9
YGL253W	HXK2	P04807	GCK	P35557	m:n	638	266	0.73	1.0	InParanoid9
YOL077C	BRX1	Q08235	BRIX1	Q8TDN6	1:1	639	266	1.0	1.0	InParanoid9
YML102W	CAC2	Q04199	CHAF1B	Q13112	1:1	640	266	1.0	1.0	InParanoid9
YPR048W	TAH18	Q12181	NDOR1	Q9UHB4	1:1	641	266	1.0	1.0	InParanoid9
YPL268W	PLC1	P32383	PLCH2	O75038	m:n	642	265	1.0	0.063	InParanoid9
YPL268W	PLC1	P32383	PLCG2	P16885	m:n	642	265	1.0	0.408	InParanoid9
YPL268W	PLC1	P32383	PLCG1	P19174	m:n	642	265	1.0	1.0	InParanoid9
YPL268W	PLC1	P32383	PLCD1	P51178	m:n	642	265	1.0	0.057	InParanoid9
YPL268W	PLC1	P32383	PLCD3	Q8N3E9	m:n	642	265	1.0	0.059	InParanoid9
YPL268W	PLC1	P32383	PLCD4	Q9BRC7	m:n	642	265	1.0	0.052	InParanoid9
YPL268W	PLC1	P32383	PLCL2	Q9UPR0	m:n	642	265	1.0	0.06	InParanoid9
YDR523C	SPS1	P08458	STK25	O00506	m:n	643	265	1.0	1.0	InParanoid9
YDR523C	SPS1	P08458	STK4	Q13043	m:n	643	265	1.0	0.072	InParanoid9
YDR523C	SPS1	P08458	STK3	Q13188	m:n	643	265	1.0	0.067	InParanoid9
YDR523C	SPS1	P08458	STK26	Q9P289	m:n	643	265	1.0	0.506	InParanoid9
YDR523C	SPS1	P08458	STK24	Q9Y6E0	m:n	643	265	1.0	1.0	InParanoid9
YMR110C	HFD1	Q04458	ALDH3A1	P30838	m:n	644	265	1.0	1.0	InParanoid9
YMR110C	HFD1	Q04458	ALDH3B1	P43353	m:n	644	265	1.0	0.369	InParanoid9
YMR110C	HFD1	Q04458	ALDH3B2	P48448	m:n	644	265	1.0	0.218	InParanoid9
YMR110C	HFD1	Q04458	ALDH3A2	P51648	m:n	644	265	1.0	0.583	InParanoid9
YBL067C	UBP13	P38187	USP12	O75317	m:n	645	265	1.0	1.0	InParanoid9
YBL067C	UBP13	P38187	USP46	P62068	m:n	645	265	1.0	1.0	InParanoid9
YER098W	UBP9	P39967	USP12	O75317	m:n	645	265	1.0	1.0	InParanoid9
YER098W	UBP9	P39967	USP46	P62068	m:n	645	265	1.0	1.0	InParanoid9
YDR456W	NHX1	Q04121	SLC9A9	Q8IVB4	m:n	646	265	1.0	1.0	InParanoid9
YDR456W	NHX1	Q04121	SLC9A6	Q92581	m:n	646	265	1.0	0.405	InParanoid9
YDR456W	NHX1	Q04121	SLC9A7	Q96T83	m:n	646	265	1.0	0.434	InParanoid9
YDR497C	ITR1	P30605	SLC2A13	Q96QE2	m:n	647	265	0.682	1.0	InParanoid9
YOL103W	ITR2	P30606	SLC2A13	Q96QE2	m:n	647	265	1.0	1.0	InParanoid9
YPL220W	RPL1A	P0CX43	RPL10A	P62906	m:n	648	265	1.0	1.0	InParanoid9
YGL135W	RPL1B	P0CX44	RPL10A	P62906	m:n	648	265	1.0	1.0	InParanoid9
YGR246C	BRF1	P29056	BRF1	Q92994	1:1	649	265	1.0	1.0	InParanoid9
YLR209C	PNP1	Q05788	PNP	P00491	1:1	650	265	1.0	1.0	InParanoid9
YMR296C	LCB1	P25045	SPTLC1	O15269	1:1	651	265	1.0	1.0	InParanoid9
YML028W	TSA1	P34760	PRDX2	P32119	m:n	652	263	1.0	1.0	InParanoid9
YML028W	TSA1	P34760	PRDX1	Q06830	m:n	652	263	1.0	0.483	InParanoid9
YML028W	TSA1	P34760	PRDX4	Q13162	m:n	652	263	1.0	0.196	InParanoid9
YDR453C	TSA2	Q04120	PRDX2	P32119	m:n	652	263	0.71	1.0	InParanoid9
YDR453C	TSA2	Q04120	PRDX1	Q06830	m:n	652	263	0.71	0.483	InParanoid9
YDR453C	TSA2	Q04120	PRDX4	Q13162	m:n	652	263	0.71	0.196	InParanoid9
YGL011C	SCL1	P21243	PSMA6	P60900	1:1	653	263	1.0	1.0	InParanoid9
YJR117W	STE24	P47154	ZMPSTE24	O75844	1:1	654	262	1.0	1.0	InParanoid9
YDR226W	ADK1	P07170	AK2	P54819	1:1	655	261	1.0	1.0	InParanoid9
YMR023C	MSS1	P32559	GTPBP3	Q969Y2	1:1	656	261	1.0	1.0	InParanoid9
YBR082C	UBC4	P15731	UBE2D1	P51668	m:n	657	260	1.0	0.593	InParanoid9
YBR082C	UBC4	P15731	UBE2D3	P61077	m:n	657	260	1.0	0.875	InParanoid9
YBR082C	UBC4	P15731	UBE2D2	P62837	m:n	657	260	1.0	1.0	InParanoid9
YBR082C	UBC4	P15731	UBE2D4	Q9Y2X8	m:n	657	260	1.0	1.0	InParanoid9
YDR059C	UBC5	P15732	UBE2D1	P51668	m:n	657	260	1.0	0.593	InParanoid9
YDR059C	UBC5	P15732	UBE2D3	P61077	m:n	657	260	1.0	0.875	InParanoid9
YDR059C	UBC5	P15732	UBE2D2	P62837	m:n	657	260	1.0	1.0	InParanoid9
YDR059C	UBC5	P15732	UBE2D4	Q9Y2X8	m:n	657	260	1.0	1.0	InParanoid9
YLL019C	KNS1	P32350	CLK1	P49759	m:n	658	260	1.0	1.0	InParanoid9
YLL019C	KNS1	P32350	CLK2	P49760	m:n	658	260	1.0	0.36	InParanoid9
YLL019C	KNS1	P32350	CLK3	P49761	m:n	658	260	1.0	0.303	InParanoid9
YLL019C	KNS1	P32350	CLK4	Q9HAZ1	m:n	658	260	1.0	0.71	InParanoid9
YKL152C	GPM1	P00950	BPGM	P07738	m:n	659	260	1.0	0.134	InParanoid9
YKL152C	GPM1	P00950	PGAM2	P15259	m:n	659	260	1.0	1.0	InParanoid9
YKL152C	GPM1	P00950	PGAM1	P18669	m:n	659	260	1.0	0.67	InParanoid9
YKL152C	GPM1	P00950	PGAM4	Q8N0Y7	m:n	659	260	1.0	0.59	InParanoid9
YLR117C	CLF1	Q12309	CRNKL1	Q9BZJ0	1:1	660	260	1.0	1.0	InParanoid9
YOL124C	TRM11	Q12463	TRMT11	Q7Z4G4	1:1	661	260	1.0	1.0	InParanoid9
YGR135W	PRE9	P23638	PSMA4	P25789	1:1	662	259	1.0	1.0	InParanoid9
Q0275	COX3	P00420	MT-CO3	P00414	1:1	663	259	1.0	1.0	InParanoid9
YER021W	RPN3	P40016	PSMD3	O43242	1:1	664	259	1.0	1.0	InParanoid9
YDR019C	GCV1	P48015	AMT	P48728	1:1	665	258	1.0	1.0	InParanoid9
YJL121C	RPE1	P46969	RPEL1	Q2QD12	m:n	666	255	1.0	0.91	InParanoid9
YJL121C	RPE1	P46969	RPE	Q96AT9	m:n	666	255	1.0	1.0	InParanoid9
YNL138W	SRV2	P17555	CAP2	P40123	m:n	667	255	1.0	1.0	InParanoid9
YNL138W	SRV2	P17555	CAP1	Q01518	m:n	667	255	1.0	0.461	InParanoid9
YBR020W	GAL1	P04385	GALK2	Q01415	m:n	668	255	1.0	1.0	InParanoid9
YDR009W	GAL3	P13045	GALK2	Q01415	m:n	668	255	0.677	1.0	InParanoid9
YBR110W	ALG1	P16661	ALG1	Q9BT22	1:1	669	255	1.0	1.0	InParanoid9
YBR114W	RAD16	P31244	TTF2	Q9UNY4	1:1	670	255	1.0	1.0	InParanoid9
YML054C	CYB2	P00175	HAO2	Q9NYQ3	m:n	671	254	1.0	0.172	InParanoid9
YML054C	CYB2	P00175	HAO1	Q9UJM8	m:n	671	254	1.0	1.0	InParanoid9
YPL097W	MSY1	P48527	YARS2	Q9Y2Z4	1:1	672	254	1.0	1.0	InParanoid9
YPR066W	UBA3	Q99344	UBA3	Q8TBC4	1:1	673	254	1.0	1.0	InParanoid9
YLR243W	GPN3	Q06543	GPN3	Q9UHW5	1:1	674	254	1.0	1.0	InParanoid9
YKL149C	DBR1	P24309	DBR1	Q9UK59	1:1	675	254	1.0	1.0	InParanoid9
YOR262W	GPN2	Q08726	GPN2	Q9H9Y4	1:1	676	254	1.0	1.0	InParanoid9
YKR017C	HEL1	P36113	ARIH2	O95376	m:n	677	253	1.0	0.056	InParanoid9
YKR017C	HEL1	P36113	ARIH1	Q9Y4X5	m:n	677	253	1.0	1.0	InParanoid9
YPL042C	SSN3	P39073	CDK8	P49336	m:n	678	253	1.0	1.0	InParanoid9
YPL042C	SSN3	P39073	CDK19	Q9BWU1	m:n	678	253	1.0	0.715	InParanoid9
YPR102C	RPL11A	P0C0W9	RPL11	P62913	m:n	679	252	1.0	1.0	InParanoid9
YGR085C	RPL11B	Q3E757	RPL11	P62913	m:n	679	252	1.0	1.0	InParanoid9
YAL042W	ERV46	P39727	ERGIC3	Q9Y282	1:1	680	252	1.0	1.0	InParanoid9
YFL001W	DEG1	P31115	PUS3	Q9BZE2	1:1	681	252	1.0	1.0	InParanoid9
YBL072C	RPS8A	P0CX39	RPS8	P62241	m:n	682	251	1.0	1.0	InParanoid9
YER102W	RPS8B	P0CX40	RPS8	P62241	m:n	682	251	1.0	1.0	InParanoid9
YGR217W	CCH1	P50077	NALCN	Q8IZF0	1:1	683	251	1.0	1.0	InParanoid9
YML092C	PRE8	P23639	PSMA2	P25787	1:1	684	251	1.0	1.0	InParanoid9
YPL109C		Q02981	ADCK2	Q7Z695	1:1	685	251	1.0	1.0	InParanoid9
YLR262C	YPT6	Q99260	RAB6A	P20340	m:n	686	250	1.0	1.0	InParanoid9
YLR262C	YPT6	Q99260	RAB6D	Q53S08	m:n	686	250	1.0	0.728	InParanoid9
YLR262C	YPT6	Q99260	RAB41	Q5JT25	m:n	686	250	1.0	0.062	InParanoid9
YLR262C	YPT6	Q99260	RAB6C	Q9H0N0	m:n	686	250	1.0	0.735	InParanoid9
YLR262C	YPT6	Q99260	RAB6B	Q9NRW1	m:n	686	250	1.0	1.0	InParanoid9
YJL141C	YAK1	P14680	DYRK3	O43781	m:n	687	250	1.0	1.0	InParanoid9
YJL141C	YAK1	P14680	DYRK2	Q92630	m:n	687	250	1.0	0.459	InParanoid9
YJL141C	YAK1	P14680	DYRK4	Q9NR20	m:n	687	250	1.0	0.175	InParanoid9
YHR016C	YSC84	P32793	SH3YL1	Q96HL8	m:n	688	249	1.0	1.0	InParanoid9
YFR024C-A	LSB3	P43603	SH3YL1	Q96HL8	m:n	688	249	0.341	1.0	InParanoid9
YBR133C	HSL7	P38274	PRMT5	O14744	1:1	689	249	1.0	1.0	InParanoid9
YOR362C	PRE10	P21242	PSMA3	P25788	1:1	690	249	1.0	1.0	InParanoid9
YLR167W	RPS31	P05759	RPS27A	P62979	m:n	691	248	1.0	1.0	InParanoid9
YBR294W	SUL1	P38359	SLC26A11	Q86WA9	m:n	692	248	0.548	1.0	InParanoid9
YLR092W	SUL2	Q12325	SLC26A11	Q86WA9	m:n	692	248	1.0	1.0	InParanoid9
YER107C	GLE2	P40066	RAE1	P78406	1:1	693	248	1.0	1.0	InParanoid9
YGR267C	FOL2	P51601	GCH1	P30793	1:1	694	248	1.0	1.0	InParanoid9
YDR268W	MSW1	P04803	WARS2	Q9UGM6	1:1	695	248	1.0	1.0	InParanoid9
YIR008C	PRI1	P10363	PRIM1	P49642	1:1	696	248	1.0	1.0	InParanoid9
YNL001W	DOM34	P33309	PELO	Q9BRX2	1:1	697	248	1.0	1.0	InParanoid9
