systematic	common	uniprot	seq_len
YPR105C	COG4	Q06096	861
YLR347C	KAP95	Q06142	861
YGR071C	ENV11	P53246	860
YML061C	PIF1	P07271	859
YGL178W	MPT5	P39016	859
YDR416W	SYF1	Q04048	859
YBR294W	SUL1	P38359	859
YOL130W	ALR1	Q08269	859
YLR115W	CFT2	Q12102	859
YNL201C	PSY2	P40164	858
YFL050C	ALR2	P43553	858
YHR047C	AAP1	P37898	856
YBR179C	FZO1	P38297	855
YJL165C	HAL5	P38970	855
YAL041W	CDC24	P11433	854
YDL040C	NAT1	P12945	854
YDR369C	XRS2	P33301	854
Q0055	AI2	P03876	854
YKL188C	PXA2	P34230	853
YLR127C	APC2	Q12440	853
YFR038W	IRC5	P43610	853
YDR160W	SSY1	Q03770	852
YHR103W	SBE22	P38814	852
YKL121W	DGR2	P32330	852
YOR373W	NUD1	P32336	851
YER167W	BCK2	P33306	851
YMR302C	YME2	P32843	850
YHR131C	YHR131C	P38835	850
YMR053C	STB2	P46679	850
YBR237W	PRP5	P21372	849
YLR057W	MNL2	Q12205	849
YPL105C	SYH1	Q02875	849
YNL126W	SPC98	P53540	846
YBR202W	MCM7	P38132	845
YPL084W	BRO1	P48582	844
YIL143C	SSL2	Q00578	843
YMR031C	EIS1	Q05050	843
YLL054C	YLL054C	Q12244	843
YOR133W	EFT1; EFT2	P32324	842
YJL047C	RTT101	P47050	842
YNL298W	CLA4	P48562	842
YCL054W	SPB1	P25582	841
YDR505C	PSP1	P50896	841
YKL022C	CDC16	P09798	840
YBL008W	HIR1	P32479	840
YOR270C	VPH1	P32563	840
YJL204C	RCY1	P39531	840
YFR002W	NIC96	P34077	839
YNL041C	COG6	P53959	839
YML029W	USA1	Q03714	838
YKR079C	TRZ1	P36159	838
YAL021C	CCR4	P31384	837
YOR018W	ROD1	Q02805	837
YLL034C	RIX7	Q07844	837
YIL038C	NOT3	P06102	836
YDR207C	UME6	P39001	836
YDL126C	CDC48	P25694	835
YPL019C	VTC3	Q02725	835
YML034W	SRC1	Q03707	834
Q0050	AI1	P03875	834
YMR102C	YMR102C	Q03177	834
YGL073W	HSF1	P10961	833
YDL056W	MBP1	P39678	833
YGL027C	CWH41	P53008	833
YLR207W	HRD3	Q05787	833
YFL024C	EPL1	P43572	832
YPR029C	APL4	Q12028	832
YCR106W	RDS1	P25611	832
YBL052C	SAS3	P34218	831
YJL157C	FAR1	P21268	830
YJL062W	LAS21	P40367	830
YNL085W	MKT1	P40850	830
YDR251W	PAM1	P37304	830
YJL089W	SIP4	P46954	829
YFL004W	VTC2	P43585	828
YKL176C	LST4	P34239	828
YJL087C	TRL1	P09880	827
YNL216W	RAP1	P11938	827
YLR263W	RED1	P14291	827
YBR133C	HSL7	P38274	827
YIL107C	PFK26	P40433	827
YJL176C	SWI3	P32591	825
YMR089C	YTA12	P40341	825
YPL032C	SVL3	Q03088	825
YLL032C	YLL032C	Q07834	825
YHR205W	SCH9	P11792	824
YNL256W	FOL1	P53848	824
YJL041W	NSP1	P14907	823
YHR172W	SPC97	P38863	823
YIL140W	AXL2	P38928	823
YJL029C	VPS53	P47061	822
YJL051W	IRC8	P47046	822
YPL153C	RAD53	P22216	821
YOR195W	SLK19	Q08581	821
YJL187C	SWE1	P32944	819
YJL102W	MEF2	P39677	819
YJR059W	PTK2	P47116	818
YOR322C	LDB19	Q12502	818
YHR028C	DAP2	P18962	818
YGL229C	SAP4	P53036	818
YDL095W	PMT1	P33775	817
YLR337C	VRP1	P37370	817
YGR198W	YPP1	P46951	817
YLR222C	UTP13	Q05946	817
YGR196C	FYV8	P46949	817
YGR130C	YGR130C	P53278	816
YMR160W	YMR160W	Q03823	816
YDR422C	SIP1	P32578	815
YDL132W	CDC53	Q12018	815
YNL238W	KEX2	P13134	814
YLR228C	ECM22	Q05958	814
YMR309C	NIP1	P32497	812
YLR095C	IOC2	Q12072	812
YDR258C	HSP78	P33416	811
YKR099W	BAS1	P22035	811
YJR126C	VPS70	P47161	811
YLR176C	RFX1	P48743	811
YML035C	AMD1	P15274	810
YBR049C	REB1	P21538	810
YIL095W	PRK1	P40494	810
YPL207W	TYW1	Q08960	810
YDL148C	NOP14	Q99207	810
YOR162C	YRR1	Q12172	810
YDL122W	UBP1	P25037	809
YER125W	RSP5	P39940	809
YGR261C	APL6	P46682	809
YOR168W	GLN4	P13188	809
YOR256C	TRE2	Q08693	809
YJL141C	YAK1	P14680	807
YMR049C	ERB1	Q04660	807
YBR276C	PPS1	P38148	807
YLR352W	YLR352W	Q06479	807
YIL068C	SEC6	P32844	805
YGL216W	KIP3	P53086	805
YER144C	UBP5	P39944	805
YGL083W	SCY1	P53009	804
YGR067C	YGR067C	P53243	804
YLR182W	SWI6	P09959	803
YGL234W	ADE57	P07244	802
YPL190C	NAB3	P38996	802
YGL139W	FLC3	P53121	802
YER157W	COG3	P40094	801
YOR233W	KIN4	Q01919	800
YMR257C	PET111	P08468	800
YOR017W	PET127	P32606	800
YCL030C	HIS4	P00815	799
YER109C	FLO8	P40068	799
YPL180W	TCO89	Q08921	799
YJL212C	OPT1	P40897	799
YBR198C	TAF5	P38129	798
YPL045W	VPS16	Q03308	798
YBR284W	YBR284W	P38150	797
YCR077C	PAT1	P25644	796
YHR204W	MNL1	P38888	796
YER169W	RPH1	P39956	796
YFL023W	BUD27	P43573	796
YOL076W	MDM20	Q12387	796
YDR485C	VPS72	Q03388	795
YER184C	TOG1	P39961	794
YPL221W	FLC1	Q08967	793
YOR178C	GAC1	P28006	793
YNL186W	UBP10	P53874	792
YBL113C	YBL113C	Q7M4S9	792
YOR144C	ELG1	Q12050	791
YOR353C	SOG2	Q08817	791
YNL183C	NPR1	P22211	790
YBR114W	RAD16	P31244	790
YDL239C	ADY3	Q07732	790
YDR034C	LYS14	P40971	790
YJL200C	ACO2	P39533	789
YOR035C	SHE4	P51534	789
YLR319C	BUD6	P41697	788
YGR200C	ELP2	P42935	788
YDL060W	TSR1	Q07381	788
YNR033W	ABZ1	P37254	787
YFR013W	IOC3	P43596	787
YDR239C	YDR239C	Q03780	787
YOR172W	YRM1	Q12340	786
YPL075W	GCR1	P07261	785
YAL043C	PTA1	Q01329	785
YHR182W	RGD3	P38870	785
YMR016C	SOK2	P53438	785
YGR237C	YGR237C	P50089	785
YAL053W	FLC2	P39719	783
YPL176C	TRE1	Q08919	783
YLR241W	CSC1	Q06538	782
YNL212W	VID27	P40157	782
YMR212C	EFR3	Q03653	782
YBR058C	UBP14	P38237	781
YGR250C	YGR250C	P53316	781
YLR397C	AFG2	P32794	780
YBR001C	NTH2	P35172	780
YGL009C	LEU1	P07264	779
YFL009W	CDC4	P07834	779
YJR040W	GEF1	P37020	779
YDR208W	MSS4	P38994	779
YLR277C	YSH1	Q06224	779
YLR144C	ACF2	Q12168	779
YER171W	RAD3	P06839	778
YLR304C	ACO1	P19414	778
YDR324C	UTP4	Q06679	776
YOR165W	SEY1	Q99287	776
YLR274W	MCM5	P29496	775
YML006C	GIS4	Q04233	774
YBR142W	MAK5	P38112	773
YPL270W	MDL2	P33311	773
YKL134C	OCT1	P35999	772
YDR520C	URC2	Q04411	772
YGR143W	SKN1	P33336	771
YKR010C	TOF2	Q02208	771
YJL033W	HCA4	P20448	770
YLR131C	ACE2	P21192	770
YPR091C	NVJ2	Q06833	770
YOL006C	TOP1	P04786	769
YMR167W	MLH1	P38920	769
YPR181C	SEC23	P15303	768
YDR119W	VBA4	Q04602	768
YGL120C	PRP43	P53131	767
YNL224C	SQS1	P53866	767
YER091C	MET6	P05694	767
YGR245C	SDA1	P53313	767
YNL247W	YNL247W	P53852	767
YOR140W	SFL1	P20134	766
YDR490C	PKH1	Q03407	766
YKL072W	STB6	P36085	766
YKR027W	BCH2	P36122	765
YDR264C	AKR1	P39010	764
YJL090C	DPB11	P47027	764
YDL028C	MPS1	P54199	764
YIR007W	EGH1	P40566	764
YLR114C	AVL9	Q12500	764
YOR361C	PRT1	P06103	763
YHR197W	RIX1	P38883	763
YDL138W	RGT2	Q12300	763
YNL311C	SKP2	P42843	763
YJR143C	PMT4	P46971	762
YER001W	MNN1	P39106	762
YDL206W	YDL206W	Q12424	762
YER017C	AFG3	P39925	761
YLR069C	MEF1	P25039	761
YOR112W	CEX1	Q12453	761
YOL036W	YOL036W	Q08206	761
YCL045C	EMC1	P25574	760
YGL021W	ALK1	P43633	760
YAL031C	GIP4	P39732	760
YNL272C	SEC2	P17065	759
YAL023C	PMT2	P31382	759
YBL011W	SCT1	P32784	759
YER041W	YEN1	P40028	759
YGR199W	PMT6	P42934	759
YOR337W	TEA1	P47988	759
YOR267C	HRK1	Q08732	759
YBR080C	SEC18	P18759	758
YKL034W	TUL1	P36096	758
YBL084C	CDC27	P38042	758
YMR164C	MSS11	Q03825	758
YPL158C	AIM44	Q99299	758
YMR179W	SPT21	P35209	758
YJL206C	YJL206C	P39529	758
YOR014W	RTS1	P38903	757
YLL001W	DNM1	P54861	757
YNL161W	CBK1	P53894	756
YDL164C	CDC9	P04819	755
YNL059C	ARP5	P53946	755
YER162C	RAD4	P14736	754
YBL097W	BRN1	P38170	754
YNL258C	DSL1	P53847	754
YER098W	UBP9	P39967	754
YPL074W	YTA6	P40328	754
YPR003C	YPR003C	P53394	754
YBR102C	EXO84	P38261	753
YOR321W	PMT3	P47190	753
YBR094W	PBY1	P38254	753
YDR138W	HPR1	P17629	752
YLL008W	DRS1	P32892	752
YFR009W	GCN20	P43535	752
YGR264C	MES1	P00958	751
YDR001C	NTH1	P32356	751
YKR029C	SET3	P36124	751
YOR208W	PTP2	P29461	750
YKL187C	YKL187C	P34231	750
YJL132W	YJL132W	P47014	750
YGL086W	MAD1	P40957	749
YLL029W	FRA1	Q07825	749
YOR081C	TGL5	Q12043	749
YOR034C	AKR2	Q12013	749
YLR135W	SLX4	Q12098	748
YPR031W	NTO1	Q12311	748
YGL205W	POX1	P13711	748
YPR024W	YME1	P32795	747
YDR499W	LCD1	Q04377	747
YOR076C	SKI7	Q08491	747
YBL067C	UBP13	P38187	747
YJL099W	CHS6	P40955	746
YOR299W	BUD7	Q08754	746
YDL234C	GYP7	P48365	746
YCL039W	GID7	P25569	745
YJR030C	YJR030C	P47101	745
YER015W	FAA2	P39518	744
YJR042W	NUP85	P46673	744
YGR003W	CUL3	P53202	744
YKR067W	GPT2	P36148	743
YHR178W	STB5	P38699	743
YDL093W	PMT5	P52867	743
YCR026C	NPP1	P25353	742
YMR216C	SKY1	Q03656	742
YKR024C	DBP7	P36120	742
YMR078C	CTF18	P49956	741
YBR172C	SMY2	P32909	740
YNL144C	YNL144C	P53907	740
YKL054C	DEF1	P35732	738
YPR185W	ATG13	Q06628	738
YLL019C	KNS1	P32350	737
YPL029W	SUV3	P32580	737
YML002W	YML002W	P0CF17	737
YBR007C	DSF2	P38213	736
YHL016C	DUR3	P33413	735
YKL078W	DHR2	P36009	735
YGR186W	TFG1	P41895	735
YHR149C	SKG6	P32900	734
YIL078W	THS1	P04801	734
YFR022W	ROG3	P43602	733
YJL168C	SET2	P46995	733
YOR001W	RRP6	Q12149	733
YLR381W	CTF3	Q12748	733
YEL053C	MAK10	Q02197	733
YOR080W	DIA2	Q08496	732
YMR277W	FCP1	Q03254	732
YKL112W	ABF1	P14164	731
YHR072W	ERG7	P38604	731
YJL082W	IML2	P47031	731
YBR238C	YBR238C	P38330	731
YER040W	GLN3	P18494	730
YOR019W	YOR019W	Q99248	730
YLR149C	YLR149C	Q99296	730
YGL203C	KEX1	P09620	729
YPR141C	KAR3	P17119	729
YJR119C	JHD2	P47156	728
YLR219W	MSC3	Q05812	728
YMR154C	RIM13	Q03792	727
YKL135C	APL2	P36000	726
YDL116W	NUP84	P52891	726
YOR156C	NFI1	Q12216	726
YNR044W	AGA1	P32323	725
YKR018C	YKR018C	P36114	725
YJR106W	ECM27	P47144	725
YGL114W	YGL114W	P53134	725
YDR164C	SEC1	P30619	724
YDR205W	MSC2	Q03455	724
YMR237W	BCH1	Q05029	724
YKL168C	KKQ8	P36004	724
YLR054C	OSW2	Q12202	724
YHR031C	RRM3	P38766	723
YDR333C	RQC1	Q05468	723
YGR178C	PBP1	P53297	722
YIL091C	UTP25	P40498	721
YJL012C	VTC4	P47075	721
YCR091W	KIN82	P25341	720
YPR159W	KRE6	P32486	720
YLR335W	NUP2	P32499	720
YMR192W	GYL1	Q04322	720
YNR060W	FRE4	P53746	719
YMR172W	HOT1	Q03213	719
YDL167C	NRP1	P32770	719
YGL022W	STT3	P39007	718
YKL104C	GFA1	P14742	717
YLR362W	STE11	P23561	717
YKR098C	UBP11	P36026	717
YKL213C	DOA1	P36037	715
YPL164C	MLH3	Q12083	715
YOR022C	YOR022C	Q12204	715
YDR109C	YDR109C	Q04585	715
YJL112W	MDV1	P47025	714
YHR074W	QNS1	P38795	714
YFL047W	RGD2	P43556	714
YOL017W	ESC8	Q08119	714
YCR084C	TUP1	P16649	713
YHL024W	RIM4	P38741	713
YJL061W	NUP82	P40368	713
YGR128C	UTP8	P53276	713
YAL054C	ACS1	Q01574	713
YNL101W	AVT4	P50944	713
YCL057W	PRD1	P25375	712
YDR211W	GCD6	P32501	712
YLR006C	SSK1	Q07084	712
YLL051C	FRE6	Q12473	712
YKL220C	FRE2	P36033	711
YOR381W	FRE3	Q08905	711
YOL057W	YOL057W	Q08225	711
YDR436W	PPZ2	P33329	710
YOR206W	NOC2	P39744	710
YPL240C	HSP82	P02829	709
YDR146C	SWI5	P08153	709
YAR014C	BUD14	P27637	709
YLR440C	SEC39	Q12745	709
YHL032C	GUT1	P32190	709
YFR015C	GSY1	P23337	708
YGL245W	GUS1	P46655	708
YLR424W	SPP382	Q06411	708
YDL176W	GID12	Q12027	708
YGL026C	TRP5	P00931	707
YGR145W	ENP2	P48234	707
YJR134C	SGM1	P47166	707
YPL155C	KIP2	P28743	706
YNL021W	HDA1	P53973	706
YMR006C	PLB2	Q03674	706
YOL095C	HMI1	Q12039	706
YKR090W	PXL1	P36166	706
YER113C	TMN3	P40071	706
YOL060C	MAM3	Q12296	706
YMR186W	HSC82	P15108	705
YLR258W	GSY2	P27472	705
YMR001C	CDC5	P32562	705
YBL035C	POL12	P38121	705
YMR163C	INP2	Q03824	705
YKL222C	YKL222C	P35995	705
YKR001C	VPS1	P21576	704
YDR052C	DBF4	P32325	704
YMR037C	MSN2	P33748	704
YBR131W	CCZ1	P38273	704
YGL249W	ZIP2	P53061	704
YEL011W	GLC3	P32775	704
YOR365C	YOR365C	Q08844	703
YDR176W	NGG1	P32494	702
YOR033C	EXO1	P39875	702
YDR221W	GTB1	Q04924	702
YGL145W	TIP20	P33891	701
YIL005W	EPS1	P40557	701
YLR266C	PDR8	Q06149	701
YGR266W	YGR266W	P53326	701
YJR005W	APL1	P27351	700
YOR317W	FAA1	P30624	700
YDL074C	BRE1	Q07457	700
YBR019C	GAL10	P04397	699
YLR233C	EST1	P17214	699
YJL156C	SSY5	P47002	699
YDL214C	PRR2	Q12310	699
YLR452C	SST2	P11972	698
YBR156C	SLI15	P38283	698
YDR108W	TRS85	P46944	698
YDL039C	PRM7	Q12459	698
YPL116W	HOS3	Q02959	697
YHL050C	YHL050C	P38721	697
YBL061C	SKT5	P34226	696
YIL108W	YIL108W	P40483	696
YLR188W	MDL1	P33310	695
YOL141W	PPM2	Q08282	695
YLR035C	MLH2	Q07980	695
YDR338C	YDR338C	Q05497	695
YIL009W	FAA3	P39002	694
YMR246W	FAA4	P47912	694
YOR384W	FRE5	Q08908	694
YPR008W	HAA1	Q12753	694
YBR255W	MTC4	P38335	694
YPL106C	SSE1	P32589	693
YLR072W	LAM6	Q08001	693
YBR169C	SSE2	P32590	693
YDR234W	LYS4	P49367	693
YML016C	PPZ1	P26570	692
YMR224C	MRE11	P32829	692
YKL146W	AVT3	P36062	692
YFL013C	IES1	P43579	692
YDR314C	RAD34	Q06665	692
YOR354C	MSC6	Q08818	692
YHR042W	NCP1	P16603	691
YLR396C	VPS33	P20795	691
YBR098W	MMS4	P38257	691
YIL144W	NDC80	P40460	691
YJL093C	TOK1	P40310	691
YGL071W	AFT1	P22149	690
YBR121C	GRS1	P38088	690
YMR301C	ATM1	P40416	690
YDL141W	BPL1	P48445	690
YPR175W	DPB2	P24482	689
YBR043C	QDR3	P38227	689
YDR332W	IRC3	Q06683	689
YHR084W	STE12	P13574	688
YGR099W	TEL2	P53038	688
YPL222W	FMP40	Q08968	688
YJR110W	YMR1	P47147	688
YHR020W	YHR020W	P38708	688
YER077C	MRX1	P40050	688
YBR259W	YBR259W	P38338	688
YMR108W	ILV2	P07342	687
YER022W	SRB4	P32569	687
YBL060W	YEL1	P34225	687
YLR260W	LCB5	Q06147	687
YLR117C	CLF1	Q12309	687
YAR035W	YAT1	P80235	687
YDL199C	YDL199C	Q12407	687
YDR444W	YDR444W	Q04093	687
YLR214W	FRE1	P32791	686
YLR399C	BDF1	P35817	686
YIL105C	SLM1	P40485	686
YOL011W	PLB3	Q08108	686
YLR047C	FRE8	Q12209	686
YDR172W	SUP35	P05453	685
YPL043W	NOP4	P37838	685
YOR249C	APC5	Q08683	685
YLR143W	DPH6	Q12429	685
YGL144C	ROG1	P53118	685
YBL024W	NCL1	P38205	684
YMR075W	RCO1	Q04779	684
YDR350C	ATP22	P50273	684
YLR403W	SFP1	P32432	683
YKL017C	HCS1	P34243	683
YLR153C	ACS2	P52910	683
YJL034W	KAR2	P16474	682
YJL019W	MPS3	P47069	682
YEL023C	YEL023C	P39992	682
YBR117C	TKL2	P33315	681
YKL126W	YPK1	P12688	680
YPR074C	TKL1	P23254	680
YPR007C	REC8	Q12188	680
YKL025C	PAN3	P36102	679
YIR003W	AIM21	P40563	679
YKL179C	COY1	P34237	679
YHL029C	OCA5	P38738	679
YNL027W	CRZ1	P53968	678
YJL101C	GSH1	P32477	678
YFR029W	PTR3	P43606	678
YIL067C	YIL067C	P40514	678
YMR104C	YPK2	P18961	677
YMR061W	RNA14	P25298	677
YMR232W	FUS2	Q05670	677
YBL009W	ALK2	P32789	676
YNL008C	ASI3	P53983	676
YOR243C	PUS7	Q08647	676
YPL089C	RLM1	Q12224	676
YOL023W	IFM1	P25038	676
YOR087W	YVC1	Q12324	675
YOR069W	VPS5	Q92331	675
YLR413W	YLR413W	Q06689	675
YDR452W	PPN1	Q04119	674
YDR295C	HDA2	Q06629	674
YOR054C	VHS3	Q08438	674
YBR216C	YBP1	P38315	674
YFL042C	LAM5	P43560	674
YNL125C	ESBP6	P53918	673
YNL103W	MET4	P32389	672
YDR362C	TFC6	Q06339	672
YBR212W	NGR1	P32831	672
YDR107C	TMN2	Q04562	672
YNL045W	LAP2	Q10740	671
YLR330W	CHS5	Q12114	671
YOR138C	RUP1	Q12242	671
YML042W	CAT2	P32796	670
YER088C	DOT6	P40059	670
YLR427W	MAG2	Q06436	670
YLL043W	FPS1	P23900	669
YKL029C	MAE1	P36013	669
YBR041W	FAT1	P38225	669
YMR032W	HOF1	Q05080	669
YGL236C	MTO1	P53070	669
YJL128C	PBS2	P08018	668
YBL051C	PIN4	P34217	668
YGL113W	SLD3	P53135	668
YML088W	UFO1	Q04511	668
YLR401C	DUS3	Q06053	668
YDR320C	SWA2	Q06677	668
YLR083C	EMP70	P32802	667
YJL057C	IKS1	P47042	667
YBL111C	YBL111C	Q3E7Y5	667
YDR189W	SLY1	P22213	666
YBR260C	RGD1	P38339	666
YJL010C	NOP9	P47077	666
YEL007W	MIT1	P40002	666
YLL007C	LMO1	Q07799	665
YDR194C	MSS116	P15424	664
YMR008C	PLB1	P39105	664
YML020W	YML020W	Q03722	664
YOR254C	SEC63	P14906	663
YDR137W	RGP1	P16664	663
YDR508C	GNP1	P48813	663
YLR002C	NOC3	Q07896	663
YDR458C	HEH2	Q03281	663
YOR350C	MNE1	P24720	663
YJL149W	DAS1	P47005	663
YAL048C	GEM1	P39722	662
YKL198C	PTK1	P36002	662
YFR048W	RMD8	P43620	662
YDR307W	PMT7	Q06644	662
YMR137C	PSO2	P30620	661
YNL197C	WHI3	P34761	661
YNR008W	LRO1	P40345	661
YLR313C	SPH1	Q06160	661
YOR275C	RIM20	Q12033	661
YNL279W	PRM1	P53835	661
YLR299W	ECM38	Q05902	660
YOL025W	LAG2	Q92325	660
YER173W	RAD24	P32641	659
YOR273C	TPO4	Q12256	659
YHR015W	MIP6	P38760	659
YPL104W	MSD1	P15179	658
YPR161C	SGV1	P23293	657
YGL066W	SGF73	P53165	657
YLR369W	SSQ1	Q05931	657
YPL023C	MET12	P46151	657
YPL109C	YPL109C	Q02981	657
YLR234W	TOP3	P13099	656
YKL079W	SMY1	P32364	656
YNL047C	SLM2	P53955	656
YDR496C	PUF6	Q04373	656
YIL037C	PRM2	P40534	656
YJR098C	YJR098C	P47139	656
YML031W	NDC1	P32500	655
YPR179C	HDA3	Q06623	655
YOL113W	SKM1	Q12469	655
YJR045C	SSC1	P0CS90	654
YKR101W	SIR1	P21691	654
YPR190C	RPC82	P32349	654
YDR389W	SAC7	P17121	654
YJL209W	CBP1	P07252	654
YDR118W	APC4	Q04601	652
YGR083C	GCD2	P12754	651
YGR009C	SEC9	P40357	651
YLR429W	CRN1	Q06440	651
YPL263C	KEL3	Q08979	651
YML007W	YAP1	P19880	650
YJR004C	SAG1	P20840	650
YLR103C	CDC45	Q08032	650
YBR123C	TFC1	P32367	649
YBL075C	SSA3	P09435	649
YIL155C	GUT2	P32191	649
YML082W	YML082W	Q04533	649
YDL224C	WHI4	Q07655	649
YLR098C	CHA4	P43634	648
YLR273C	PIG1	Q06216	648
YIL101C	XBP1	P40489	647
YNL167C	SKO1	Q02100	647
YPL093W	NOG1	Q02892	647
YPL253C	VIK1	Q12045	647
YDR014W	RAD61	Q99359	647
YDL109C	YDL109C	Q12103	647
YGL107C	RMD9	P53140	646
YFL054C	AQY3	P43549	646
YOL164W	BDS1	Q08347	646
YJL106W	IME2	P32581	645
YJL073W	JEM1	P40358	645
YLR289W	GUF1	P46943	645
YOL117W	RRI2	Q12348	645
YPL269W	KAR9	P32526	644
YER049W	TPA1	P40032	644
YGL124C	MON1	P53129	644
YEL030W	ECM10	P39987	644
YHR039C	MSC7	P38694	644
YNL115C	YNL115C	P53925	644
YKR036C	CAF4	P36130	643
YDR398W	UTP5	Q04177	643
YLR139C	SLS1	P42900	643
YHR091C	MSR1	P38714	643
YAL005C	SSA1	P10591	642
YCR038C	BUD5	P25300	642
YDR129C	SAC6	P32599	642
YDR311W	TFB1	P32776	642
YMR313C	TGL3	P40308	642
YNL299W	TRF5	P48561	642
YER103W	SSA4	P22202	642
YGR054W	YGR054W	P53235	642
YNR019W	ARE2	P53629	642
YNL095C	YNL095C	P53932	642
YDR484W	VPS52	P39904	641
YGL060W	YBP2	P53169	641
YKL048C	ELM1	P32801	640
YJL127C	SPT10	P35208	640
YPL210C	SRP72	P38688	640
YIL046W	MET30	P39014	640
YGL099W	LSG1	P53145	640
YKL148C	SDH1	Q00711	640
YDL113C	ATG20	Q07528	640
YIL056W	VHR1	P40522	640
YLL024C	SSA2	P10592	639
YKR056W	TRM2	P33753	639
YHR117W	TOM71	P38825	639
YJR130C	STR2	P47164	639
YDR266C	HEL2	Q05580	639
YBL042C	FUI1	P38196	639
YBR045C	GIP1	P38229	639
Q0120	BI4	P03879	638
YNL020C	ARK1	P53974	638
YDL070W	BDF2	Q07442	638
YBR280C	SAF1	P38352	637
YHR161C	YAP1801	P38856	637
YOR070C	GYP1	Q08484	637
YMR058W	FET3	P38993	636
YDR390C	UBA2	P52488	636
YNL176C	TDA7	P53882	636
YEL060C	PRB1	P09232	635
YAL016W	TPD3	P31383	635
YGL023C	PIB2	P53191	635
YDR380W	ARO10	Q06408	635
YIR028W	DAL4	Q04895	635
YJL045W	YJL045W	P47052	634
YDR477W	SNF1	P06782	633
YCL025C	AGP1	P25376	633
YHR114W	BZZ1	P38822	633
YPL161C	BEM4	P39011	633
YNL293W	MSB3	P48566	633
YDR456W	NHX1	Q04121	633
YOR181W	LAS17	Q12446	633
YBR021W	FUR4	P05316	633
YIL092W	YIL092W	P40497	633
YKL204W	EAP1	P36041	632
YDR419W	RAD30	Q04049	632
YDR386W	MUS81	Q04149	632
YDR049W	VMS1	Q04311	632
YLL035W	GRC3	Q07845	632
YNL012W	SPO1	P53541	631
YOR356W	CIR2	Q08822	631
YCR061W	YCR061W	P25639	631
YKL062W	MSN4	P33749	630
YHR171W	ATG7	P38862	630
YER005W	YND1	P40009	630
Q0070	AI5_ALPHA	Q9ZZX1	630
YHR035W	NEL1	P38769	630
YIL014W	MNT3	P40549	630
YHL038C	CBP2	P03874	630
YNR038W	DBP6	P53734	629
YMR106C	YKU80	Q04437	629
YOR066W	MSA1	Q08471	629
YML046W	PRP39	P39682	629
YKL155C	RSM22	P36056	628
YDR365C	ESF1	Q06344	628
YOR239W	ABP140	Q08641	628
YEL065W	SIT1	P39980	628
YLR177W	YLR177W	Q06251	628
YHL040C	ARN1	P38731	627
YHR124W	NDT80	P38830	627
YOR348C	PUT4	P15380	627
YKL125W	RRN3	P36070	627
YHL008C	YHL008C	P38750	627
YER080W	AIM9	P40053	627
YIL055C	YIL055C	P40523	627
YHR166C	CDC23	P16522	626
YDR228C	PCF11	P39081	626
YAL011W	SWC3	P31376	625
YHL027W	RIM101	P33400	625
YBR215W	HPC2	Q01448	625
YKR008W	RSC4	Q02206	625
YDR425W	SNX41	Q04053	625
YER147C	SCC4	P40090	624
YGL110C	CUE3	P53137	624
YMR119W	ASI1	P54074	624
YOR171C	LCB4	Q12246	624
YOR389W	YOR389W	Q08912	624
YHR219W	YHR219W	P38900	624
YJL085W	EXO70	P19658	623
YKL212W	SAC1	P32368	623
YPR048W	TAH18	Q12181	623
YFL049W	SWP82	P43554	623
YDL203C	ACK1	Q07622	623
YHR206W	SKN7	P38889	622
YAL047C	SPC72	P39723	622
YNR006W	VPS27	P40343	622
YFL041W	FET5	P43561	622
YGR221C	TOS2	P50078	622
YMR278W	PRM15	Q03262	622
YPR156C	TPO3	Q06451	622
YOR147W	MDM32	Q12171	622
YOR137C	SIA1	Q12212	622
YAR007C	RFA1	P22336	621
YDR292C	SRP101	P32916	621
YPL020C	ULP1	Q02724	621
YBR060C	ORC2	P32833	620
YGR013W	SNU71	P53207	620
YMR100W	MUB1	Q03162	620
YDL025C	RTK1	Q12100	620
YOL152W	FRE7	Q12333	620
YHL047C	ARN2	P38724	620
YDL063C	SYO1	Q07395	620
YDR085C	AFR1	P33304	620
YNL104C	LEU4	P06208	619
YDL013W	SLX5	P32828	619
YBR069C	TAT1	P38085	619
YOR175C	ALE1	Q08548	619
YOR030W	DFG16	Q99234	619
YNL061W	NOP2	P40991	618
YPR081C	GRS2	Q06817	618
YJL103C	GSM1	P42950	618
YKL174C	TPO5	P36029	618
YNL121C	TOM70	P07213	617
YPL119C	DBP1	P24784	617
YKL217W	JEN1	P36035	616
YKR058W	GLG1	P36143	616
YGR289C	MAL11	P53048	616
YLL004W	ORC3	P54790	616
YGL142C	GPI10	P30777	616
YPR155C	NCA2	Q12374	616
YEL062W	NPR2	P39923	615
YMR092C	AIP1	P46680	615
YCL073C	GEX1	P25596	615
YKR019C	IRS4	P36115	615
YKR106W	GEX2	P36173	615
YLR088W	GAA1	P39012	614
YGR138C	TPO2	P53283	614
YBR298C	MAL31	P38156	614
YDL229W	SSB1	P11484	613
YNL209W	SSB2	P40150	613
YLR206W	ENT2	Q05785	613
YGR224W	AZR1	P50080	613
YOR092W	ECM3	Q99252	613
YDR244W	PEX5	P35056	612
YPL184C	MRN1	Q08925	612
YPL194W	DDC1	Q08949	612
YPL070W	MUK1	Q02866	612
YMR098C	ATP25	Q03153	612
YNL034W	YNL034W	P53963	612
YNL018C	YNL018C	P53976	612
